"","population","individual","sex","species","photo.id","std.length.raw","depth.spine.1","depth.spine.2","spine.length.1","spine.length.2","spine.length.3","spine.length.pelvic","lndmrk.x1","lndmrk.x2","lndmrk.x3","lndmrk.x4","lndmrk.x5","lndmrk.x6","lndmrk.x7","lndmrk.x8","lndmrk.x9","lndmrk.x10","lndmrk.x11","lndmrk.x12","lndmrk.x13","lndmrk.x14","lndmrk.x15","lndmrk.x16","lndmrk.x17","lndmrk.x18","lndmrk.x19","lndmrk.y1","lndmrk.y2","lndmrk.y3","lndmrk.y4","lndmrk.y5","lndmrk.y6","lndmrk.y7","lndmrk.y8","lndmrk.y9","lndmrk.y10","lndmrk.y11","lndmrk.y12","lndmrk.y13","lndmrk.y14","lndmrk.y15","lndmrk.y16","lndmrk.y17","lndmrk.y18","lndmrk.y19","correction","std.length","depth.1","depth.2","spine.1","spine.2","spine.3","spine.pelvic","x.1","y.1","x.2","y.2","x.3","y.3","x.4","y.4","x.5","y.5","x.6","y.6","x.7","y.7","x.8","y.8","x.9","y.9","x.10","y.10","x.11","y.11","x.12","y.12","x.13","y.13","x.14","y.14","x.15","y.15","x.16","y.16","x.17","y.17","x.18","y.18","x.19","y.19","notes"
"1","AL-S-2014","1","","C","10",1980.184,474.009,465.01,184.835,224.179,0,312.519,918,1028,1096,1182,1172,1110,942,903,874,812,802,735,721,730,759,783,971,1019,1004,548,701,855,1288,1533,1884,2288,2427,2509,2442,2355,1956,1456,1278,966,668,721,879,1264,387.105,5.12,1.22,1.2,0.4774802702,0.579,0,0.8073235944,2.37144960669586,1.41563658438925,2.65561023494917,1.81087818550522,2.8312731687785,2.20870306505987,3.05343511450382,3.32726262900247,3.02760233011715,3.96016584647576,2.86743906691983,4.86689657844771,2.43344828922385,5.91054106766898,2.33270043011586,6.26961677064362,2.25778535539453,6.48144560261428,2.09762209219721,6.30836594722362,2.07178930781054,6.08362072305964,1.89870965241989,5.0528926260317,1.86254375427855,3.76125340669844,1.88579326022655,3.3014298446158,1.96070833494788,2.49544697175185,2.02270701747588,1.72562999702923,2.50836336394518,1.86254375427855,2.63236072900118,2.27070174758786,2.59361155242118,3.26526394647447,"e.g. no head, very bent, not a threespine, etc."
"2","AL-S-2014","10","","C","18",1975.103,462.088,456.039,228.473,233.384,80.722,342.053,888,972,1044,1144,1136,1132,1008,976,948,896,888,784,696,696,712,764,936,928,936,306,454,602,1006,1222,1534,2054,2206,2274,2202,2030,1710,1198,1022,734,422,466,622,1022,390.046,5.06,1.18,1.17,0.5857591156,0.598,0.2069550771,0.8769555386,2.27665454843788,0.78452285115089,2.4920137624793,1.16396527589054,2.6766073745148,1.54340770063018,2.93298739123078,2.57918296816273,2.9124769898935,3.13296380426924,2.90222178922486,3.93286945642309,2.58431056849705,5.26604554334617,2.50226896314794,5.65574316875446,2.43048255846746,5.83008158012132,2.29716494977515,5.64548796808582,2.27665454843788,5.20451433933434,2.01001933105326,4.38409828584321,1.7844049163432,3.07143260025741,1.7844049163432,2.62020377083729,1.82542571901776,1.88182932269527,1.95874332771006,1.08192367054142,2.39971695646155,1.19473087789645,2.37920655512427,1.59468370397338,2.39971695646155,2.62020377083729,""
"3","AL-S-2014","11","","C","19",1920.021,459,441.041,201.604,209.313,60,264.068,1036,1100,1172,1248,1240,1208,1064,1056,1008,972,948,832,800,804,832,884,1056,1056,1040,626,806,946,1374,1574,1922,2358,2466,2546,2478,2362,2010,1518,1374,1074,770,814,982,1354,390.046,4.92,1.18,1.13,0.5168723689,0.537,0.15382801,0.6770175825,2.65609697317752,1.60493890464202,2.82018018387575,2.06642293473078,3.00477379591125,2.42535495813314,3.19962260861539,3.52266142967753,3.17911220727812,4.03542146310948,3.097070601929,4.92762392128108,2.727883377858,6.04544079416274,2.70737297652072,6.322331212216,2.58431056849705,6.52743522558878,2.4920137624793,6.35309681422191,2.43048255846746,6.05569599483138,2.13308173907693,5.15323833599114,2.05104013372782,3.89184865374853,2.06129533439646,3.52266142967753,2.13308173907693,2.75352137952959,2.26639934776924,1.97412612871302,2.70737297652072,2.08693333606805,2.70737297652072,2.51765176415089,2.66635217384616,3.47138542633433,""
"4","AL-S-2014","12","","C","20",2038.857,465.155,477.038,237.739,241.868,88.589,312.231,980,1096,1168,1276,1304,1268,1032,948,864,868,900,868,836,824,836,856,1048,1068,1076,558,726,890,1298,1570,1898,2374,2522,2582,2474,2362,1974,1498,1326,1046,726,746,926,1338,390.046,5.23,1.19,1.22,0.6095152879,0.62,0.227124493,0.80049789,2.51252416381658,1.43060049327515,2.80992498320711,1.86131892135799,2.99451859524261,2.2817821487722,3.27140901329587,3.32781261697338,3.34319541797634,4.02516626244084,3.25089861195859,4.86609271726924,2.64584177250888,6.0864615968373,2.43048255846746,6.46590402157694,2.21512334442604,6.61973203160653,2.22537854509468,6.34284161355327,2.30742015044379,6.05569599483138,2.22537854509468,5.06094152997339,2.14333693974557,3.84057265040534,2.11257133773965,3.39959902165386,2.14333693974557,2.68173497484912,2.19461294308876,1.86131892135799,2.68686257518344,1.91259492470119,2.73813857852664,2.37407895478995,2.75864897986391,3.43036462365977,""
"5","AL-S-2014","13","","C","21",1885.492,426,417,235.228,240,102.528,318.226,920,1024,1084,1176,1160,1148,1052,1012,964,912,940,808,760,760,776,808,964,968,968,534,686,822,1218,1442,1790,2210,2354,2422,2370,2238,1878,1410,1230,974,670,706,862,1226,390.046,4.83,1.09,1.07,0.6030775857,0.615,0.2628613035,0.815867872,2.35869615378699,1.36906928926332,2.62533137117161,1.7587669146716,2.77915938120119,2.10744373740533,3.01502899657989,3.1227086036006,2.97400819390533,3.69699984104439,2.94324259189942,4.58920229921599,2.69711777585208,5.66599836942309,2.59456576916569,6.0351855934941,2.47150336114202,6.20952400486097,2.33818575244971,6.07620639616866,2.40997215713018,5.73778477410357,2.0715505350651,4.81481671392605,1.94848812704143,3.61495823569528,1.94848812704143,3.15347420560652,1.98950892971598,2.49714136281362,2.0715505350651,1.71774611199705,2.47150336114202,1.8100429180148,2.48175856181066,2.20999574409172,2.48175856181066,3.14321900493788,""
"6","AL-S-2014","14","","C","22",1890.467,456.01,444,224.66,231.758,64.9,300,1080,1176,1224,1324,1324,1280,1116,1076,992,992,992,900,884,876,900,956,1108,1112,1100,614,790,942,1338,1566,1886,2322,2422,2498,2402,2302,1946,1486,1346,1022,738,806,970,1334,387.186,4.88,1.18,1.15,0.5802379218,0.599,0.167619697,0.7748214037,2.78935705319924,1.58580113950401,3.0372999023725,2.040363029655,3.16127132695914,2.43293920751267,3.41954512818129,3.45570346035239,3.41954512818129,4.04456772713889,3.30590465564354,4.87104389104978,2.88233562163921,5.99711766437836,2.77902610115035,6.25539146560051,2.56207610812374,6.45167955452935,2.56207610812374,6.20373670535608,2.56207610812374,5.94546290413393,2.32446421099936,5.02600817178307,2.28314040280382,3.83794868616117,2.26247849870605,3.47636536445016,2.32446421099936,2.63955824849039,2.46909753968377,1.90606065301948,2.86167371754144,2.08168683785054,2.87200466959033,2.50525587185487,2.84101181344367,3.4453725083035,""
"7","AL-S-2014","15","","C","23",2039.79,495.327,495.445,236.677,261.947,99.86,321.602,952,1052,1128,1268,1276,1272,1148,1152,1148,1056,1008,852,776,772,788,816,996,1008,1028,502,674,822,1226,1458,1798,2258,2410,2522,2438,2290,1938,1450,1258,966,662,694,858,1242,390.012,5.23,1.27,1.27,0.6068454304,0.672,0.2560434038,0.8245951407,2.44095053485534,1.2871398828754,2.69735290196199,1.72815195429884,2.89221870096305,2.10762745761669,3.25118201491236,3.14349302072757,3.27169420428089,3.738346512415,3.26143810959663,4.61011456057762,2.94349917438438,5.78956544926823,2.95375526906864,6.17929704727034,2.94349917438438,6.46646769842979,2.70760899664626,6.2510897100602,2.58453586043506,5.87161420674236,2.18454816774868,4.96907787452694,1.98968236874763,3.71783432304647,1.97942627406336,3.2255417782017,2.02045065280043,2.47684686625027,2.09224331559029,1.69738367024604,2.55376757638227,1.77943242772017,2.58453586043506,2.19993230977508,2.63581633385639,3.18451739946463,""
"8","AL-S-2014","16","","C","24",1869.299,462.243,459.245,212.132,206.63,56.604,306.529,984,1092,1144,1252,1244,1248,1140,1132,1084,1036,1036,896,808,804,836,864,1032,1040,1028,658,818,958,1358,1566,1858,2298,2438,2522,2430,2314,1982,1526,1386,1106,794,830,998,1342,387.012,4.83,1.19,1.19,0.5481277066,0.534,0.1462590307,0.7920400401,2.54255681994357,1.7002056783769,2.82161793432762,2.11362955153845,2.95598069310512,2.47537544055481,3.23504180748917,3.5089351234587,3.2143706138311,4.04638615856873,3.22470621066013,4.80088472708857,2.94564509627608,5.93780037828284,2.92497390261801,6.29954626729921,2.80094674066954,6.51659380070902,2.67691957872107,6.27887507364113,2.67691957872107,5.979142765599,2.31517368970471,5.12128822878877,2.08779055946586,3.94303019027834,2.07745496263682,3.58128430126198,2.16013973726913,2.85779252322925,2.2324889150724,2.05161597056422,2.66658398189203,2.14463634202557,2.68725517555011,2.5787314088452,2.656248385063,3.46759273614255,""
"9","AL-S-2014","18","","C","17",1305.055,306.132,318.509,113.842,94.868,48.374,216.749,1228,1172,1128,1068,1068,1088,1200,1216,1252,1284,1288,1356,1380,1364,1336,1316,1208,1200,1216,2592,2464,2396,2096,1924,1736,1428,1340,1292,1348,1448,1656,1992,2096,2240,2516,2484,2364,2120,390.012,3.35,0.78,0.82,0.2918935828,0.243,0.1240320811,0.5557495667,3.1486210680697,6.64594935540445,3.00503574248997,6.31775432550793,2.89221870096305,6.14340071587541,2.73837728069906,5.37419361455545,2.73837728069906,4.93318154313201,2.78965775412039,4.4511450929715,3.07682840527984,3.66142580228301,3.1178527840169,3.43579171922915,3.2101576361753,3.31271858301796,3.29220639364943,3.45630390859768,3.30246248833369,3.71270627570434,3.47681609796622,4.24602319928618,3.53835266607181,5.10753515276453,3.49732828733475,5.37419361455545,3.42553562454489,5.74341302318903,3.37425515112356,6.45108355640339,3.09734059464837,6.36903479892926,3.07682840527984,6.06135195840128,3.1178527840169,5.43573018266105,""
"10","AL-S-2014","19","","C","18",1306.823,294.138,294.138,148.189,139.169,56.604,241.197,992,928,884,832,844,844,896,888,916,968,996,1092,1136,1120,1112,1084,980,976,980,2748,2636,2540,2260,2096,1872,1580,1512,1468,1500,1588,1804,2136,2260,2432,2668,2644,2512,2276,396.011,3.3,0.74,0.74,0.3742042519,0.351,0.1429354235,0.6090664148,2.50498092224711,6.9392011838055,2.34336924984407,6.65638075710018,2.23226122506698,6.41396324849562,2.10095174123951,5.70691218173233,2.13125392981508,5.29278227119954,2.13125392981508,4.7271414177889,2.26256341364255,3.98978816245003,2.24236195459217,3.8180757605218,2.3130670612685,3.70696773574471,2.44437654509597,3.78777357194623,2.5150816517723,4.00998962150041,2.75749916037686,4.55542901586067,2.86860718515395,5.39378956645144,2.82820426705319,5.70691218173233,2.80800280800281,6.14124355131549,2.73729770132648,6.7371865933017,2.47467873367154,6.67658221615056,2.46457800414635,6.34325814181929,2.47467873367154,5.74731509983309,""
