,ID,family,individual,pixel.correction,standard.length.raw,body.depth.raw,standard.length,body.depth,melanophores,note,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
1,F2-10-1,10,1,876.514,3773.008,854.553,4.304561022,0.9749450665,39,,4.4973611374,1.5196562747,4.0113449414,1.3074520202,3.6143176264,1.266380229,2.7928818022,1.1910819451,2.2794844121,1.2321537363,1.5881092601,1.3142973187,0.5407785843,1.7181699323,0.3628008223,1.7729323205,0.205358956,1.855075903,0.3901820165,1.9166835898,0.5955409725,1.9509100824,1.2595349304,2.1083519487,2.5122245623,2.2178767253,2.8681800861,2.14942374,3.4158039689,2.0398989634,4.1414056136,1.8756117986,4.01819024,1.5059656777,3.6074723279,1.4854297821,2.8476441905,1.6976340366
2,F2-10-2,10,2,864.187,3840.919,870.083,4.444546146,1.006822597,35,,4.6170562621,1.3955312913,4.2490803495,1.2150148058,3.8602756116,1.1108706796,2.943807301,1.0483842039,2.3953149029,1.0483842039,1.7426783786,1.1039277379,0.4512912136,1.4371889417,0.2916035534,1.4441318835,0.2013453107,1.5066183592,0.3402041456,1.6177054272,0.6456935825,1.6524201359,1.3816454078,1.9023660388,2.5966602136,2.0828825243,2.9646361262,2.0412248738,3.5964438252,1.8745942718,4.3809962427,1.7010207282,4.2490803495,1.3052730485,3.8325038447,1.2358436311,2.9924078932,1.319158932
3,F2-10-3,10,3,894.725,3767.207,925.246,4.21046355,1.034112157,32,,4.4728827293,1.5356673838,4.0369946073,1.3143703373,3.6346363408,1.233898684,2.78297801,1.0997792618,2.3202660035,1.1467210595,1.6563748638,1.2204867417,0.7242448797,1.5960211238,0.4291821509,1.6966106904,0.2749448154,1.7636704015,0.4761239487,1.8508480259,0.6840090531,1.8910838526,1.4954315572,2.1392047836,2.5281511079,2.166028668,2.7963899522,2.1257928414,3.4334572075,1.9849674481,4.1644080583,1.8374360837,4.0437005784,1.4619017016,3.6346363408,1.4350778172,2.8902735477,1.5289614127
4,F2-10-4,10,4,882.184,4137.66,943.222,4.690246026,1.069189648,36,,4.7881167648,1.7547359734,4.427647747,1.5779021157,3.9787618003,1.4078695601,3.0877912091,1.2446383067,2.4824753113,1.2446383067,1.7615372757,1.3602604445,0.8025536623,1.6935242534,0.2856546934,1.8975633201,0.1020195333,1.9655763424,0.3196612045,2.0743971779,0.6121172,2.0539932712,1.3806643512,2.3804557779,2.6729117735,2.4756740091,3.1694068358,2.3464492668,3.8971461736,2.1900193157,4.4820581647,2.0811984801,4.4208464447,1.6935242534,3.9787618003,1.5983060223,3.0741886046,1.7547359734
5,F2-10-5,10,5,876.514,4291.321,1011.441,4.895895559,1.153935933,46,,4.7917089744,1.3348332143,4.3467645696,1.177391348,3.9223560605,1.1363195568,2.8750253846,1.1705460495,2.3068656063,1.3074520202,1.5538827674,1.5401921703,0.4928614945,2.1425784414,0.1574418663,2.3000203077,0.0273811941,2.4026997857,0.191668359,2.4711527711,0.397027315,2.4232356813,1.3553691099,2.5943681447,2.7791912052,2.4026997857,3.2652074011,2.2247220238,3.929201359,1.9440647839,4.6000406154,1.663407544,4.4015269579,1.3279879158,3.9771184488,1.4238220953,3.135146729,1.7113246337
6,F2-10-6,10,6,882.326,4319.654,948.683,4.89575735,1.075206896,33,,4.4813368302,0.741222632,4.0733243722,0.6936211786,3.5905096302,0.7888240854,2.6384805616,1.1084338442,2.1964670655,1.3124400732,1.4620446411,1.7544535693,0.408012458,2.5636782776,0.1428043603,2.686082015,0.0476014534,2.7948853372,0.2176066443,2.835686583,0.3944120427,2.7948853372,1.3872423571,2.7744847143,2.7472838837,2.3460716334,3.1892973799,2.1012641586,3.8285168974,1.5844483785,4.3521328851,1.1628355052,4.1073254103,0.8092247083,3.6585117066,0.9724296915,2.9172890746,1.5300467174
7,F2-11-1,11,1,870.186,3342.264,696.026,3.840861609,0.7998588807,48,,4.0336203984,1.5307072281,3.6819714406,1.3376450552,3.2682667843,1.2273238135,2.5718639463,1.1170025719,2.1167888245,1.1170025719,1.5651826161,1.1997435031,0.7446683812,1.3721204432,0.3585440354,1.4341761417,0.2068523281,1.5169170729,0.3861243458,1.5789727713,0.5791865187,1.6065530818,1.3169598224,1.8685660307,2.4684377823,2.0064675828,2.6408147224,1.98578235,3.0200439906,1.9030414187,3.7371320614,1.8340906427,3.6819714406,1.4617564521,3.2475815515,1.4065958312,2.5856541015,1.4065958312
8,F2-11-2,11,2,870.021,3780.686,846.085,4.3455112,0.9724880204,31,,4.5585106566,1.4413445193,4.2274841642,1.2068674204,3.8274938191,1.0689397152,2.9516528911,0.9103228543,2.4620095377,0.8827373132,1.8482312496,0.9448047806,0.8551517722,1.1999710352,0.4413686566,1.3103131993,0.2551662546,1.3585878962,0.3930939598,1.4413445193,0.7310168375,1.462033675,1.3861734372,1.7585782412,2.5930408576,1.8965059464,2.9447565059,1.8758167906,3.6826697287,1.7585782412,4.2895516315,1.7034071591,4.2205877789,1.3034168141,3.7792191223,1.248245732,3.0413058995,1.3241059699
9,F2-11-3,11,3,876.021,4206.068,948.076,4.801332388,1.082252594,28,,4.8355005188,1.5821538525,4.4861938241,1.3698301753,4.0820939224,1.2465454595,3.1917043085,1.0958641402,2.6026773331,1.0821658385,1.7533826244,1.1438081964,0.5684795228,1.4794165893,0.2397202807,1.5342097963,0.054793207,1.6163996069,0.2534185824,1.7122877191,0.4794405614,1.71913687,1.273942063,1.9314605472,2.719112898,2.2122757331,3.219100912,2.1917282805,3.7807312838,2.0136503577,4.5546853329,1.883516491,4.4587972206,1.5205114946,4.0341498663,1.4725674385,3.1985534593,1.554757249
10,F2-11-4,11,4,852.19,3114.832,678.027,3.655091001,0.795628909,27,,0.5773360401,2.0277168237,0.8660040601,1.8094556378,1.2321195977,1.6545606027,1.9080252056,1.5278283012,2.2952627935,1.5348689846,2.9430056678,1.5559910349,3.8582945118,1.8587404217,4.1047184313,1.9009845222,4.217369366,1.9573099896,4.0765556977,2.0417981905,3.794928361,2.084042291,3.0979007029,2.2741407433,2.2178152759,2.3867916779,1.8094556378,2.3093441603,1.337729849,2.2741407433,0.8519226933,2.2741407433,0.8660040601,1.9009845222,1.253241648,1.8728217886,1.9150658891,1.8235370047
