population,individual,DSC code,Folder,
RT,14,4239,ROOT,
RT,13,4240,ROOT,
RT,12,4241,ROOT,
RT,11,4242,ROOT,
RT,10,4243,ROOT,
RT,9,4245,ROOT,
RT,8,4247,ROOT,
RT,7,4248,ROOT,
RT,6,4249,ROOT,
RT,5,4251,ROOT,
RT,4,4252,ROOT,
RT,3,4253,ROOT,
RT,2,4255,ROOT,
RT,1,4256,ROOT,
MB,37,4257,ROOT,
MB,36,4258,ROOT,
MB,35,4261,ROOT,
MB,34,4262,ROOT,
MB,33,4264,ROOT,
MB,32,4266,ROOT,
MB,31,4268,ROOT,
MB,30,4270,ROOT,
MB,29,4273,ROOT,
MB,28,4275,ROOT,
MB,27,4276,ROOT,
RT,15,4277,ROOT,
RT,16,4280,ROOT,
RT,17,4281,ROOT,
RT,18,4282,ROOT,
RT,19,4283,ROOT,
RT,20,4284,ROOT,
RT,21,4286,ROOT,
RT,22,4288,ROOT,
RT,23,4290,ROOT,
RT,24,4293,ROOT,
RT,25,4295,ROOT,
RT,26,4297,ROOT,
RT,27,4300,ROOT,
RT,28,4301,ROOT,
RT,29,4304,ROOT,
RT,30,4306,ROOT,
RT,31,4310,ROOT,
RT,32,4311,ROOT,
RT,33,4312,ROOT,
RT,34,4314,ROOT,
RT,35,4318,ROOT,
RT,36,4319,ROOT,
RT,37,4320,ROOT,
RT,38,4324,ROOT,
RT,39,4325,ROOT,
RT,40,4326,ROOT,
RT,41,4330,ROOT,
RT,42,4331,ROOT,
RT,43,4335,ROOT,
RT,44,4336,ROOT,
RT,45,4339,ROOT,
RT,46,4349,ROOT,
RT,47,4350,ROOT,
RT,48,4353,ROOT,
RT,49,4359,ROOT,
RT,50,4360,ROOT,
RT,51,4361,ROOT,
RT,52,4362,ROOT,
RT,53,4366,ROOT,
RT,54,4367,ROOT,
RT,55,4368,ROOT,
RT,56,4372,ROOT,
RT,57,4373,ROOT,
RT,58,4379,ROOT,
RT,59,4380,ROOT,
RT,60,4382,ROOT,
RT,61,4385,ROOT,
RT,62,4386,ROOT,
RT,63,4388,ROOT,
RT,64,4389,ROOT,
RT,65,4390,ROOT,
RT,66,4391,ROOT,
RT,67,4392,ROOT,
RT,68,4395,ROOT,
RT,69,4396,ROOT,
RT,70,4399,ROOT,
RT,71,4400,ROOT,
RT,72,4404,ROOT,
RT,73,4406,ROOT,
RT,74,4407,ROOT,
RT,75,4408,ROOT,
MB,3,4412,ROOT,
MB,4,4414,ROOT,
MB,5,4415,ROOT,
MB,6,4417,ROOT,
MB,7,4418,ROOT,
MB,8,4419,ROOT,
MB,9,4420,ROOT,
MB,10,4421,ROOT,
MB,11,4422,ROOT,
MB,12,4423,ROOT,
MB,13,4424,ROOT,
MB,14,4425,ROOT,
MB,15,4427,ROOT,
MB,16,4428,ROOT,
MB,17,4429,ROOT,
MB,18,4431,ROOT,
MB,19,4433,ROOT,
MB,20,4435,ROOT,
MB,21,4436,ROOT,
MB,22,4437,ROOT,
MB,23,4438,ROOT,
MB,24,4439,ROOT,
MB,25,4441,ROOT,
MB,26,4442,ROOT,
MB,38,4443,ROOT,
MB,1,4444,ROOT,
MB,2,4445,ROOT,
MR,47,4447,ROOT,
MR,48,4448,ROOT,
MR,49,4450,ROOT,
MR,50,4451,ROOT,
MR,51,4452,ROOT,
MR,52,4453,ROOT,
MR,53,4454,ROOT,
MR,54,4456,ROOT,
MR,55,4457,ROOT,
MR,56,4458,ROOT,
MR,57,4460,ROOT,
MR,58,4461,ROOT,
MR,59,4462,ROOT,
MR,60,4464,ROOT,
MR,61,4465,ROOT,
MR,62,4466,ROOT,
MR,63,4468,ROOT,
MR,64,4470,ROOT,
MR,65,4471,ROOT,
MR,66,4472,ROOT,
MR,67,4473,ROOT,
MR,68,4477,ROOT,
MR,69,4480,ROOT,
SR2014,164,4482,ROOT,
SR2014,165,4483,ROOT,
SR2014,166,4484,ROOT,
SR2014,167,4486,ROOT,
SR2014,168,4487,ROOT,
SR2014,169,4488,ROOT,
SR2014,170,4490,ROOT,
SR2014,171,4491,ROOT,
SR2014,172,4493,ROOT,
SR2014,173,4494,ROOT,
SR2014,174,4495,ROOT,
SR2014,175,4496,ROOT,
SR2014,176,4500,ROOT,
SR2014,177,4501,ROOT,
SR2014,178,4502,ROOT,
SR2014,179,4503,ROOT,
SR2014,180,4505,ROOT,
SR2014,181,4507,ROOT,
SR2014,182,4508,ROOT,
SR2014,183,4511,ROOT,
SR2014,184,4513,ROOT,
SR2014,185,4514,ROOT,
SR2014,186,4516,ROOT,
SR2014,187,4517,ROOT,
SR2014,188,4519,ROOT,
PR,1,4520,ROOT,
PR,2,4523,ROOT,
PR,3,4525,ROOT,
PR,4,4527,ROOT,
PR,5,4529,ROOT,
PR,6,4531,ROOT,
PR,7,4533,ROOT,
PR,8,4535,ROOT,
PR,9,4536,ROOT,
PR,10,4538,ROOT,
PR,11,4539,ROOT,
PR,12,4541,ROOT,
PR,13,4543,ROOT,
PR,14,4544,ROOT,
PR,15,4550,ROOT,
PR,16,4553,ROOT,
SR2014,197,4555,ROOT,
SR2014,196,4557,ROOT,
SR2014,195,4559,ROOT,
SR2014,194,4562,ROOT,
SR2014,193,4565,ROOT,
SR2014,192,4567,ROOT,
SR2014,191,4569,ROOT,
SR2014,190,4571,ROOT,
SR2014,189,4573,ROOT,
SR2014,150,4575,ROOT,
SR2014,151,4576,ROOT,
SR2014,152,4578,ROOT,
SR2014,153,4580,ROOT,
SR2014,154,4583,ROOT,
SR2014,155,4588,ROOT,
SR2014,156,4590,ROOT,
SR2014,157,4591,ROOT,
SR2014,158,4594,ROOT,
SR2014,159,4596,ROOT,
SR2014,160,4600,ROOT,
SR2014,161,4602,ROOT,
SR2014,162,4604,ROOT,
SR2014,163,4606,ROOT,
CPN,36,4608,ROOT,
CPN,35,4609,ROOT,
CPN,34,4611,ROOT,
CPN,33,4613,ROOT,
CPN,32,4615,ROOT,
CPN,31,4618,ROOT,
CPN,30,4620,ROOT,
CPN,29,4623,ROOT,
CPN,28,4625,ROOT,
CPN,27,4627,ROOT,
CPN,26,4629,ROOT,
SR2014,1,4631,ROOT,
SR2014,2,4635,ROOT,
SR2014,3,4638,ROOT,
SR2014,4,4640,ROOT,
SR2014,5,N,ROOT,
SR2014,6,4642,ROOT,
SR2014,7,4644,ROOT,
SR2014,8,4646,ROOT,
SR2014,9,4648,ROOT,
SR2014,10,4649,ROOT,
SR2014,11,4650,ROOT,
SR2014,12,4655,ROOT,
SR2014,13,4657,ROOT,
SR2014,14,4659,ROOT,
SR2014,15,4662,ROOT,
SR2014,16,4664,ROOT,
SR2014,17,4665,ROOT,
SR2014,18,4667,ROOT,
SR2014,19,4671,ROOT,
SR2014,20,4674,ROOT,
SR2014,21,4678,ROOT,
SR2014,22,4679,ROOT,
SR2014,23,4680,ROOT,
SR2014,24,4683,ROOT,
SR2014,25,4684,ROOT,
SR2014,26,4688,ROOT,
SR2014,27,4691,ROOT,
SR2014,28,4692,ROOT,
SR2014,29,4694,ROOT,
SR2014,30,4696,ROOT,
SR2014,31,4697,ROOT,
SR2014,32,4699,ROOT,
SR2014,33,4701,ROOT,
SR2014,34,4702,ROOT,
SR2014,35,4704,ROOT,
SR2014,36,N,ROOT,
SR2014,37,4705,ROOT,
SR2014,38,4706,ROOT,
SR2014,39,4709,ROOT,
SR2014,40,4711,ROOT,
SR2014,41,4712,ROOT,
SR2014,42,4714,ROOT,
SR2014,43,4715,ROOT,
SR2014,44,4716,ROOT,
SR2014,45,4717,ROOT,
SR2014,46,4719,ROOT,
SR2014,47,4721,ROOT,
SR2014,48,4723,ROOT,
SR2014,49,4726,ROOT,
SR2014,50,4727,ROOT,
SR2014,126,4728,ROOT,
SR2014,127,4729,ROOT,
SR2014,128,4730,ROOT,
SR2014,129,431,ROOT,
SR2014,130,4733,ROOT,
SR2014,131,4734,ROOT,
SR2014,132,4738,ROOT,
SR2014,133,4739,ROOT,
SR2014,134,4740,ROOT,
SR2014,135,4741,ROOT,
SR2014,136,4743,ROOT,
SR2014,137,4744,ROOT,
SR2014,138,4745,ROOT,
SR2014,139,4746,ROOT,
SR2014,140,4747,ROOT,
SR2014,141,4748,ROOT,
SR2014,142,4749,ROOT,
SR2014,143,4751,ROOT,
SR2014,144,4752,ROOT,
SR2014,145,4753,ROOT,
SR2014,146,4754,ROOT,
SR2014,147,4755,ROOT,
SR2014,148,4756,ROOT,
SR2014,149,4757,ROOT,
SR2014,150,N,ROOT,
SR2014,76,4760,ROOT,
SR2014,77,4762,ROOT,
SR2014,78,4763,ROOT,
SR2014,79,4765,ROOT,
SR2014,80,4766,ROOT,
SR2014,81,4767,ROOT,
SR2014,82,4768,ROOT,
SR2014,83,4770,ROOT,
SR2014,84,4771,ROOT,
SR2014,85,4773,ROOT,
SR2014,86,4775,ROOT,
SR2014,87,4776,ROOT,
SR2014,88,4777,ROOT,
SR2014,89,4779,ROOT,
SR2014,90,4780,ROOT,
