,population,individual,species,x.1,y.1,x.2,y.2,x.3,y.3,x.4,y.4,x.5,y.5,x.6,y.6,x.7,y.7,x.8,y.8,x.9,y.9,x.10,y.10,x.11,y.11,x.12,y.12,x.13,y.13,x.14,y.14,x.15,y.15,x.16,y.16,x.17,y.17,x.18,y.18,x.19,y.19
1,AL-S-2014,1,C,2.371449607,1.415636584,2.655610235,1.810878186,2.831273169,2.208703065,3.053435115,3.327262629,3.02760233,3.960165846,2.867439067,4.866896578,2.433448289,5.910541068,2.33270043,6.269616771,2.257785355,6.481445603,2.097622092,6.308365947,2.071789308,6.083620723,1.898709652,5.052892626,1.862543754,3.761253407,1.88579326,3.301429845,1.960708335,2.495446972,2.022707017,1.725629997,2.508363364,1.862543754,2.632360729,2.270701748,2.593611552,3.265263946
2,AL-S-2014,10,C,2.276654548,0.784522851,2.492013762,1.163965276,2.676607375,1.543407701,2.932987391,2.579182968,2.91247699,3.132963804,2.902221789,3.932869456,2.584310568,5.266045543,2.502268963,5.655743169,2.430482558,5.83008158,2.29716495,5.645487968,2.276654548,5.204514339,2.010019331,4.384098286,1.784404916,3.0714326,1.784404916,2.620203771,1.825425719,1.881829323,1.958743328,1.081923671,2.399716956,1.194730878,2.379206555,1.594683704,2.399716956,2.620203771
3,AL-S-2014,11,C,2.656096973,1.604938905,2.820180184,2.066422935,3.004773796,2.425354958,3.199622609,3.52266143,3.179112207,4.035421463,3.097070602,4.927623921,2.727883378,6.045440794,2.707372977,6.322331212,2.584310568,6.527435226,2.492013762,6.353096814,2.430482558,6.055695995,2.133081739,5.153238336,2.051040134,3.891848654,2.061295334,3.52266143,2.133081739,2.75352138,2.266399348,1.974126129,2.707372977,2.086933336,2.707372977,2.517651764,2.666352174,3.471385426
4,AL-S-2014,12,C,2.512524164,1.430600493,2.809924983,1.861318921,2.994518595,2.281782149,3.271409013,3.327812617,3.343195418,4.025166262,3.250898612,4.866092717,2.645841773,6.086461597,2.430482558,6.465904022,2.215123344,6.619732032,2.225378545,6.342841614,2.30742015,6.055695995,2.225378545,5.06094153,2.14333694,3.84057265,2.112571338,3.399599022,2.14333694,2.681734975,2.194612943,1.861318921,2.686862575,1.912594925,2.738138579,2.374078955,2.75864898,3.430364624
5,AL-S-2014,13,C,2.358696154,1.369069289,2.625331371,1.758766915,2.779159381,2.107443737,3.015028997,3.122708604,2.974008194,3.696999841,2.943242592,4.589202299,2.697117776,5.665998369,2.594565769,6.035185593,2.471503361,6.209524005,2.338185752,6.076206396,2.409972157,5.737784774,2.071550535,4.814816714,1.948488127,3.614958236,1.948488127,3.153474206,1.98950893,2.497141363,2.071550535,1.717746112,2.471503361,1.810042918,2.481758562,2.209995744,2.481758562,3.143219005
6,AL-S-2014,14,C,2.789357053,1.58580114,3.037299902,2.04036303,3.161271327,2.432939208,3.419545128,3.45570346,3.419545128,4.044567727,3.305904656,4.871043891,2.882335622,5.997117664,2.779026101,6.255391466,2.562076108,6.451679555,2.562076108,6.203736705,2.562076108,5.945462904,2.324464211,5.026008172,2.283140403,3.837948686,2.262478499,3.476365364,2.324464211,2.639558248,2.46909754,1.906060653,2.861673718,2.081686838,2.87200467,2.505255872,2.841011813,3.445372508
7,AL-S-2014,15,C,2.440950535,1.287139883,2.697352902,1.728151954,2.892218701,2.107627458,3.251182015,3.143493021,3.271694204,3.738346512,3.26143811,4.610114561,2.943499174,5.789565449,2.953755269,6.179297047,2.943499174,6.466467698,2.707608997,6.25108971,2.58453586,5.871614207,2.184548168,4.969077875,1.989682369,3.717834323,1.979426274,3.225541778,2.020450653,2.476846866,2.092243316,1.69738367,2.553767576,1.779432428,2.58453586,2.19993231,2.635816334,3.184517399
8,AL-S-2014,16,C,2.54255682,1.700205678,2.821617934,2.113629552,2.955980693,2.475375441,3.235041807,3.508935123,3.214370614,4.046386159,3.224706211,4.800884727,2.945645096,5.937800378,2.924973903,6.299546267,2.800946741,6.516593801,2.676919579,6.278875074,2.676919579,5.979142766,2.31517369,5.121288229,2.087790559,3.94303019,2.077454963,3.581284301,2.160139737,2.857792523,2.232488915,2.051615971,2.666583982,2.144636342,2.687255176,2.578731409,2.656248385,3.467592736
9,AL-S-2014,18,C,3.148621068,6.645949355,3.005035742,6.317754326,2.892218701,6.143400716,2.738377281,5.374193615,2.738377281,4.933181543,2.789657754,4.451145093,3.076828405,3.661425802,3.117852784,3.435791719,3.210157636,3.312718583,3.292206394,3.456303909,3.302462488,3.712706276,3.476816098,4.246023199,3.538352666,5.107535153,3.497328287,5.374193615,3.425535625,5.743413023,3.374255151,6.451083556,3.097340595,6.369034799,3.076828405,6.061351958,3.117852784,5.435730183
10,AL-S-2014,19,C,2.504980922,6.939201184,2.34336925,6.656380757,2.232261225,6.413963248,2.100951741,5.706912182,2.13125393,5.292782271,2.13125393,4.727141418,2.262563414,3.989788162,2.242361955,3.818075761,2.313067061,3.706967736,2.444376545,3.787773572,2.515081652,4.009989622,2.75749916,4.555429016,2.868607185,5.393789566,2.828204267,5.706912182,2.808002808,6.141243551,2.737297701,6.737186593,2.474678734,6.676582216,2.464578004,6.343258142,2.474678734,5.7473151
