bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,1
74,0,0,0
75,0,0,1
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,1
80,0,0,2
81,0,0,2
82,0,1,1
83,0,0,4
84,0,0,1
85,0,3,0
86,0,0,0
87,0,0,1
88,0,3,2
89,2,1,3
90,0,2,7
91,4,3,3
92,1,3,2
93,4,4,5
94,4,2,5
95,3,9,8
96,7,11,11
97,9,14,16
98,11,9,26
99,10,18,21
100,14,15,34
101,11,21,39
102,18,33,40
103,26,33,31
104,18,46,37
105,33,33,37
106,33,34,45
107,40,48,65
108,46,54,61
109,52,62,62
110,64,73,80
111,79,76,103
112,72,76,100
113,80,125,108
114,100,115,114
115,104,97,113
116,110,107,115
117,121,98,143
118,109,113,138
119,118,117,113
120,115,132,118
121,133,118,153
122,98,124,138
123,109,126,124
124,132,129,152
125,127,117,146
126,138,135,158
127,145,158,163
128,152,144,146
129,146,148,160
130,145,139,172
131,136,134,208
132,152,158,189
133,162,154,210
134,134,149,236
135,156,154,260
136,165,169,194
137,153,182,226
138,140,162,239
139,138,151,264
140,117,136,255
141,124,189,274
142,130,164,256
143,131,192,273
144,121,175,283
145,127,178,275
146,155,186,282
147,149,215,297
148,118,243,325
149,134,270,327
150,160,264,287
151,154,247,294
152,155,219,285
153,155,254,256
154,130,207,257
155,160,188,257
156,146,161,249
157,144,178,264
158,142,172,288
159,138,177,305
160,147,177,258
161,166,199,298
162,143,182,303
163,143,201,265
164,143,210,252
165,128,190,296
166,156,207,249
167,171,174,264
168,122,218,278
169,147,228,300
170,178,217,271
171,147,228,280
172,156,261,270
173,179,274,295
174,176,228,304
175,178,256,296
176,167,266,229
177,195,303,317
178,179,290,320
179,214,301,282
180,195,302,255
181,213,274,260
182,197,320,270
183,185,298,245
184,191,308,244
185,199,287,237
186,177,268,257
187,228,266,245
188,195,255,218
189,190,271,226
190,214,263,215
191,228,224,192
192,183,256,178
193,217,232,185
194,205,194,207
195,269,228,206
196,202,231,197
197,245,220,236
198,215,220,278
199,211,199,230
200,229,206,221
201,235,178,202
202,259,193,180
203,232,201,176
204,226,191,191
205,225,187,191
206,251,176,168
207,252,184,173
208,241,181,143
209,247,196,140
210,234,160,127
211,228,186,128
212,286,172,85
213,253,207,107
214,293,206,80
215,258,180,75
216,265,174,77
217,251,131,69
218,261,137,76
219,236,129,73
220,243,140,51
221,216,143,33
222,190,129,45
223,183,180,40
224,176,162,46
225,192,143,37
226,197,117,29
227,168,106,20
228,179,110,23
229,167,122,13
230,161,151,5
231,151,115,8
232,145,137,4
233,176,112,2
234,156,144,0
235,169,132,0
236,182,108,0
237,152,94,0
238,160,71,0
239,139,54,0
240,146,40,0
241,169,17,0
242,153,4,0
243,144,3,0
244,189,0,0
245,186,0,0
246,162,0,0
247,144,0,0
248,100,0,0
249,47,0,0
250,19,0,0
251,5,0,0
252,1,0,0
253,0,0,0
254,0,0,0
255,0,0,0
