bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,2,2,0
46,4,0,0
47,4,1,0
48,10,0,2
49,5,1,2
50,9,8,3
51,14,7,1
52,25,18,1
53,27,17,3
54,58,17,8
55,72,38,7
56,71,50,12
57,114,66,18
58,145,76,22
59,154,86,21
60,148,113,45
61,201,138,47
62,225,166,67
63,261,205,83
64,251,206,91
65,259,220,110
66,262,227,135
67,263,241,154
68,286,268,181
69,222,231,205
70,237,249,232
71,255,248,246
72,216,257,224
73,211,280,242
74,217,241,216
75,205,227,238
76,225,204,229
77,243,228,230
78,233,198,235
79,248,243,233
80,280,223,219
81,253,226,273
82,258,225,223
83,253,233,229
84,252,251,252
85,276,282,243
86,264,281,228
87,269,296,250
88,272,320,245
89,249,301,280
90,241,363,265
91,311,314,308
92,255,317,297
93,288,321,377
94,316,361,358
95,275,343,360
96,283,324,383
97,269,348,414
98,284,338,418
99,312,385,392
100,295,333,421
101,277,420,394
102,292,396,451
103,309,419,416
104,315,410,476
105,287,378,483
106,357,399,462
107,332,423,515
108,325,452,509
109,321,417,540
110,368,435,495
111,361,419,564
112,341,469,603
113,361,412,564
114,393,427,538
115,401,476,542
116,416,491,605
117,408,496,582
118,411,499,575
119,428,511,594
120,396,517,583
121,392,508,617
122,393,477,637
123,398,547,566
124,404,530,610
125,394,488,572
126,415,521,545
127,428,550,501
128,440,506,529
129,453,517,481
130,418,433,476
131,416,421,466
132,374,396,464
133,396,412,409
134,384,399,409
135,376,379,424
136,377,372,403
137,386,329,405
138,379,331,382
139,348,311,361
140,342,317,367
141,367,296,311
142,313,325,335
143,323,297,286
144,318,316,298
145,310,277,231
146,324,283,276
147,308,274,252
148,312,268,264
149,323,247,235
150,298,255,245
151,276,264,225
152,316,307,268
153,268,278,292
154,298,275,341
155,275,264,300
156,259,282,291
157,267,251,253
158,255,275,222
159,275,285,260
160,315,290,280
161,291,364,273
162,355,361,298
163,338,362,303
164,309,382,334
165,351,361,366
166,351,356,368
167,387,383,409
168,397,395,372
169,436,399,449
170,486,440,443
171,469,451,483
172,521,504,493
173,496,449,517
174,521,506,529
175,539,480,561
176,570,530,491
177,590,539,491
178,593,586,462
179,573,577,452
180,630,662,412
181,658,555,395
182,698,587,427
183,769,617,461
184,789,581,454
185,797,611,471
186,749,561,438
187,621,484,456
188,609,464,411
189,565,452,424
190,493,403,354
191,526,381,285
192,491,399,266
193,459,320,253
194,409,358,270
195,468,278,266
196,388,292,301
197,279,273,310
198,275,216,344
199,220,195,303
200,188,179,251
201,146,163,209
202,139,145,184
203,97,132,173
204,67,108,137
205,55,78,146
206,54,61,123
207,36,48,126
208,20,23,69
209,19,22,57
210,20,15,53
211,14,27,30
212,16,15,26
213,11,19,28
214,15,13,29
215,15,22,23
216,16,20,29
217,15,23,23
218,15,13,16
219,19,21,13
220,20,18,4
221,23,19,2
222,20,12,0
223,17,5,0
224,12,5,0
225,10,3,0
226,6,0,0
227,2,0,0
228,2,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
