bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,4
70,0,0,7
71,0,0,8
72,0,1,19
73,0,7,19
74,0,7,28
75,0,6,31
76,1,19,36
77,6,23,53
78,7,19,67
79,4,37,65
80,12,46,91
81,13,61,87
82,16,68,117
83,32,65,150
84,44,80,166
85,62,102,215
86,62,124,203
87,67,148,216
88,88,176,212
89,100,183,234
90,121,171,230
91,148,174,234
92,154,182,254
93,148,213,277
94,173,203,252
95,121,194,260
96,132,211,261
97,171,228,273
98,180,245,276
99,193,257,312
100,232,291,336
101,231,318,350
102,259,331,322
103,316,316,318
104,327,332,300
105,323,304,234
106,285,281,217
107,303,298,209
108,298,287,220
109,276,258,212
110,276,247,201
111,248,210,205
112,265,237,206
113,240,227,276
114,251,213,241
115,264,231,214
116,293,250,251
117,235,228,210
118,250,212,216
119,250,211,204
120,239,198,206
121,223,184,178
122,234,187,174
123,175,184,192
124,201,187,173
125,176,157,180
126,177,166,183
127,185,161,198
128,167,161,207
129,165,166,192
130,172,169,233
131,192,178,228
132,172,191,210
133,199,188,226
134,183,173,227
135,184,167,203
136,153,180,210
137,174,186,204
138,166,156,196
139,164,173,230
140,170,201,244
141,179,166,244
142,154,148,261
143,158,179,276
144,167,149,297
145,139,174,272
146,148,160,256
147,156,169,275
148,156,198,253
149,156,179,300
150,143,182,276
151,137,169,253
152,120,178,273
153,151,150,240
154,138,176,246
155,143,171,218
156,162,182,233
157,155,144,227
158,156,160,259
159,138,192,221
160,171,164,232
161,125,130,199
162,147,146,244
163,148,151,217
164,159,144,229
165,125,142,193
166,139,136,258
167,127,125,239
168,119,148,269
169,108,143,264
170,121,137,245
171,136,136,267
172,123,139,286
173,137,137,263
174,116,126,230
175,137,132,239
176,137,149,252
177,121,160,279
178,122,130,231
179,114,158,292
180,122,146,278
181,112,158,270
182,105,179,310
183,102,181,305
184,90,205,324
185,99,206,339
186,101,188,316
187,107,226,317
188,103,215,353
189,98,266,355
190,102,298,350
191,99,263,399
192,103,305,360
193,116,329,375
194,137,347,363
195,130,349,336
196,137,307,362
197,121,317,346
198,155,346,376
199,147,355,383
200,159,334,396
201,184,371,402
202,225,384,481
203,187,395,457
204,216,416,546
205,237,443,547
206,271,509,545
207,293,464,604
208,284,470,606
209,266,511,645
210,266,474,749
211,300,426,785
212,338,503,718
213,335,491,734
214,331,518,752
215,396,567,736
216,413,508,745
217,451,557,728
218,525,612,712
219,518,646,714
220,537,695,723
221,552,746,667
222,569,773,672
223,593,814,682
224,591,935,638
225,552,982,627
226,609,1070,562
227,671,1126,523
228,749,1112,505
229,800,1153,501
230,835,1092,487
231,856,979,468
232,914,901,404
233,1042,881,428
234,1059,856,512
235,1151,812,396
236,1217,790,334
237,1234,751,264
238,1345,696,214
239,1462,687,147
240,1551,726,95
241,1468,508,79
242,1355,422,58
243,1054,281,41
244,883,147,23
245,894,75,21
246,634,49,17
247,519,40,11
248,431,33,5
249,332,11,11
250,296,7,14
251,391,7,7
252,343,6,9
253,249,8,6
254,149,11,5
255,76,9,4
