bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,2
59,1,1,1
60,2,2,2
61,1,1,1
62,1,1,4
63,2,2,2
64,3,3,2
65,0,0,4
66,0,1,3
67,2,3,3
68,5,5,7
69,5,6,6
70,5,5,5
71,3,7,16
72,9,10,16
73,6,6,21
74,9,17,23
75,6,21,16
76,21,31,17
77,23,25,24
78,26,27,20
79,31,30,18
80,28,20,19
81,35,32,28
82,27,13,23
83,34,24,20
84,37,35,30
85,40,41,32
86,53,54,33
87,51,66,44
88,76,61,56
89,59,67,66
90,93,95,98
91,98,94,118
92,109,118,133
93,112,103,149
94,108,112,120
95,100,95,154
96,112,129,154
97,131,149,145
98,130,157,146
99,132,164,168
100,162,166,187
101,140,167,184
102,128,156,185
103,154,205,173
104,179,175,211
105,181,200,190
106,157,190,183
107,159,205,204
108,168,204,211
109,168,188,208
110,163,171,171
111,142,162,144
112,147,153,131
113,145,154,150
114,129,109,137
115,157,114,128
116,160,130,111
117,148,129,136
118,127,122,98
119,116,110,97
120,93,88,99
121,99,106,74
122,96,95,89
123,94,93,103
124,98,79,106
125,107,77,99
126,94,88,92
127,89,81,107
128,91,96,112
129,67,88,120
130,85,107,109
131,92,110,107
132,89,100,116
133,104,105,123
134,92,109,146
135,98,110,128
136,101,136,143
137,107,124,158
138,128,109,161
139,107,144,188
140,110,134,191
141,125,124,222
142,114,151,224
143,121,174,209
144,118,146,229
145,120,162,213
146,132,133,248
147,146,153,175
148,113,153,203
149,127,162,191
150,111,177,205
151,141,177,203
152,112,189,189
153,158,214,183
154,133,179,215
155,139,214,156
156,122,199,172
157,130,200,137
158,157,213,166
159,148,176,146
160,133,154,171
161,187,140,167
162,171,151,140
163,201,168,147
164,176,165,106
165,209,157,134
166,203,144,109
167,170,108,97
168,173,110,85
169,152,127,84
170,137,92,88
171,130,81,94
172,131,95,88
173,96,72,83
174,106,90,90
175,93,84,79
176,93,67,101
177,82,66,88
178,82,78,117
179,87,56,109
180,70,76,134
181,66,67,126
182,63,80,123
183,70,65,150
184,58,69,146
185,52,60,145
186,72,64,157
187,80,55,164
188,73,63,172
189,44,61,191
190,49,56,170
191,56,74,197
192,53,74,166
193,49,68,159
194,45,71,149
195,56,55,165
196,53,69,168
197,54,59,177
198,52,62,170
199,51,86,184
200,52,78,200
201,47,99,196
202,63,100,215
203,60,83,233
204,62,109,293
205,52,101,295
206,56,71,304
207,51,104,283
208,64,106,285
209,48,103,303
210,55,120,253
211,46,120,202
212,67,125,204
213,71,159,182
214,97,203,176
215,67,205,158
216,77,247,143
217,95,261,116
218,93,240,119
219,105,262,125
220,106,233,127
221,118,280,104
222,104,284,117
223,99,325,98
224,115,350,67
225,130,352,69
226,117,322,59
227,125,367,65
228,127,322,50
229,145,301,58
230,159,283,54
231,198,209,74
232,224,160,84
233,233,169,68
234,274,160,46
235,303,166,37
236,300,150,44
237,366,152,23
238,365,128,18
239,334,102,4
240,381,78,7
241,371,62,6
242,418,89,3
243,448,99,5
244,393,98,3
245,362,67,4
246,271,71,6
247,250,32,6
248,264,21,0
249,207,22,2
250,140,14,0
251,160,7,0
252,137,0,0
253,50,0,0
254,35,0,0
255,29,0,0
