bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,1,0,0
41,0,1,3
42,1,1,0
43,0,0,0
44,2,1,2
45,5,2,1
46,2,4,0
47,3,5,3
48,6,2,2
49,5,6,8
50,4,4,8
51,5,5,7
52,5,5,6
53,2,3,7
54,4,7,8
55,4,2,8
56,4,7,12
57,5,1,7
58,5,4,11
59,5,4,14
60,4,7,22
61,5,6,18
62,9,15,21
63,7,7,21
64,4,7,20
65,8,18,32
66,6,16,26
67,3,12,34
68,8,11,42
69,13,17,45
70,14,23,46
71,14,29,41
72,13,23,50
73,11,32,64
74,19,30,65
75,13,25,59
76,16,33,68
77,21,54,68
78,21,38,79
79,32,61,99
80,35,59,102
81,35,64,98
82,63,92,110
83,53,88,101
84,54,77,121
85,55,92,119
86,76,112,120
87,70,117,152
88,84,139,102
89,85,119,125
90,102,125,104
91,91,155,119
92,110,162,142
93,130,148,130
94,132,151,142
95,124,162,138
96,133,169,151
97,132,157,156
98,135,154,130
99,154,146,144
100,161,184,104
101,158,178,146
102,184,152,155
103,165,179,161
104,171,168,139
105,156,167,165
106,166,160,144
107,166,162,172
108,184,200,163
109,164,166,166
110,204,176,157
111,180,170,126
112,172,161,151
113,160,182,183
114,158,158,177
115,167,182,170
116,164,148,145
117,169,169,169
118,184,165,168
119,169,160,145
120,157,150,152
121,152,172,146
122,175,136,139
123,151,134,125
124,161,137,119
125,158,133,94
126,140,125,103
127,163,106,109
128,154,88,69
129,120,83,84
130,132,94,79
131,135,84,81
132,99,63,72
133,94,66,69
134,93,62,61
135,81,51,58
136,78,47,66
137,80,55,77
138,69,57,90
139,65,74,69
140,57,49,71
141,50,57,74
142,56,59,60
143,68,46,65
144,51,54,62
145,50,57,65
146,63,61,79
147,54,74,90
148,51,66,85
149,54,57,93
150,44,72,91
151,53,89,105
152,55,88,110
153,77,82,123
154,69,93,106
155,76,109,86
156,98,109,107
157,102,110,114
158,117,105,104
159,100,108,104
160,95,90,95
161,104,106,112
162,79,100,101
163,110,91,100
164,101,100,90
165,101,110,100
166,113,125,90
167,124,127,110
168,111,104,88
169,110,131,118
170,115,137,85
171,120,109,123
172,136,111,102
173,121,108,117
174,141,123,98
175,126,105,96
176,95,103,94
177,112,117,96
178,131,107,128
179,135,108,85
180,118,113,97
181,127,97,74
182,116,87,73
183,106,104,96
184,131,84,66
185,106,79,62
186,102,74,49
187,93,85,57
188,83,55,49
189,78,67,53
190,69,56,61
191,68,47,39
192,63,45,47
193,53,51,31
194,54,32,35
195,55,42,38
196,40,43,40
197,50,40,51
198,55,44,46
199,32,41,54
200,44,54,47
201,44,45,44
202,37,31,40
203,35,41,36
204,48,49,34
205,48,34,33
206,46,35,30
207,41,32,34
208,48,32,28
209,28,28,26
210,26,16,18
211,35,27,19
212,29,22,19
213,22,25,19
214,19,8,17
215,25,23,18
216,20,14,13
217,21,9,14
218,13,20,16
219,8,12,15
220,11,13,7
221,10,9,7
222,19,14,15
223,9,9,12
224,13,6,10
225,12,14,10
226,13,12,6
227,8,11,6
228,11,13,1
229,17,5,2
230,11,3,1
231,11,6,0
232,6,1,2
233,2,1,0
234,2,2,0
235,2,1,0
236,1,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
