bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,2,0,0
49,1,0,0
50,6,0,0
51,2,0,0
52,0,0,0
53,2,0,0
54,7,1,0
55,5,0,0
56,3,2,0
57,8,7,0
58,10,3,0
59,11,0,1
60,21,4,2
61,24,10,2
62,37,14,2
63,39,21,3
64,55,27,7
65,79,28,10
66,79,47,17
67,101,61,18
68,98,75,27
69,94,76,34
70,135,89,41
71,157,103,57
72,162,118,59
73,162,128,75
74,209,163,99
75,199,179,106
76,212,182,143
77,209,212,132
78,236,192,157
79,224,230,157
80,214,194,196
81,245,191,200
82,226,181,207
83,230,197,183
84,213,243,194
85,247,206,195
86,232,219,211
87,213,207,205
88,196,201,199
89,218,195,216
90,214,189,167
91,201,210,161
92,187,181,162
93,193,179,194
94,170,176,168
95,177,170,185
96,139,186,152
97,148,193,171
98,138,160,167
99,151,156,168
100,146,160,152
101,140,155,167
102,123,153,156
103,132,135,160
104,134,156,143
105,104,141,152
106,133,154,146
107,133,122,170
108,112,124,139
109,102,102,140
110,113,133,151
111,115,120,132
112,107,102,138
113,93,111,130
114,109,111,157
115,120,131,144
116,113,129,138
117,90,114,137
118,97,128,126
119,118,123,145
120,108,115,124
121,99,128,113
122,89,107,119
123,91,114,118
124,90,103,103
125,79,96,95
126,96,105,104
127,82,105,111
128,88,101,105
129,78,104,101
130,55,91,107
131,64,90,106
132,67,81,114
133,70,77,108
134,76,87,114
135,66,80,101
136,87,98,126
137,85,109,100
138,75,105,108
139,80,100,102
140,86,98,128
141,93,97,113
142,108,95,120
143,116,114,109
144,122,119,114
145,120,102,123
146,119,133,133
147,126,156,144
148,161,139,160
149,135,144,146
150,141,147,152
151,124,147,146
152,122,140,154
153,120,145,164
154,127,140,166
155,138,137,161
156,121,130,155
157,129,140,155
158,126,145,146
159,139,130,151
160,125,144,166
161,121,114,171
162,116,137,212
163,115,127,195
164,114,115,249
165,113,129,275
166,106,129,305
167,115,147,299
168,119,160,310
169,122,146,324
170,131,155,366
171,135,173,424
172,152,159,464
173,149,195,485
174,131,180,449
175,194,246,428
176,193,320,434
177,227,344,427
178,219,361,398
179,242,431,432
180,325,358,362
181,327,379,360
182,349,391,382
183,334,393,399
184,386,395,385
185,375,414,414
186,366,414,405
187,391,474,376
188,370,513,396
189,337,537,361
190,434,541,392
191,443,530,414
192,455,518,397
193,497,514,465
194,523,539,455
195,532,512,434
196,603,503,441
197,681,508,465
198,597,467,435
199,592,443,468
200,556,414,387
201,622,483,401
202,559,456,385
203,477,417,308
204,433,391,316
205,402,402,367
206,372,404,367
207,346,448,291
208,395,421,319
209,394,353,243
210,399,407,250
211,434,331,227
212,380,312,227
213,358,253,222
214,338,273,176
215,308,241,191
216,322,256,210
217,292,192,202
218,231,199,200
219,221,208,198
220,247,227,201
221,220,190,242
222,222,236,236
223,247,253,263
224,227,262,299
225,310,290,307
226,366,354,346
227,347,349,345
228,394,388,326
229,398,387,339
230,427,411,361
231,444,411,343
232,490,395,326
233,376,376,367
234,429,370,354
235,388,345,317
236,356,345,301
237,291,280,276
238,310,268,318
239,264,226,239
240,211,193,212
241,207,190,198
242,161,157,173
243,151,148,153
244,114,121,124
245,143,136,128
246,106,109,112
247,92,85,106
248,59,54,56
249,46,45,40
250,37,35,32
251,33,28,31
252,23,21,27
253,17,16,16
254,6,6,12
255,5,5,8
