bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,1
32,0,0,0
33,0,0,1
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,2
42,0,0,0
43,0,0,1
44,0,0,2
45,0,0,1
46,0,0,1
47,0,0,0
48,0,0,1
49,0,0,5
50,0,1,2
51,0,2,6
52,0,0,4
53,0,1,4
54,0,0,5
55,0,2,15
56,2,3,11
57,0,2,15
58,2,4,15
59,4,9,11
60,6,11,19
61,5,7,16
62,5,12,28
63,3,12,20
64,7,7,23
65,4,15,32
66,7,28,39
67,8,15,43
68,18,24,50
69,19,23,50
70,17,34,57
71,12,34,68
72,16,40,79
73,26,41,81
74,31,37,95
75,37,50,115
76,27,58,105
77,44,74,118
78,48,73,122
79,34,78,115
80,59,73,115
81,67,89,129
82,48,107,107
83,48,93,119
84,70,102,144
85,88,115,131
86,62,121,149
87,87,122,135
88,90,118,148
89,110,147,146
90,95,154,143
91,113,116,152
92,123,144,112
93,130,132,123
94,141,134,122
95,129,137,121
96,118,136,131
97,140,132,125
98,118,155,117
99,148,146,125
100,137,149,94
101,146,139,106
102,108,123,89
103,141,122,100
104,137,134,86
105,137,124,78
106,126,108,84
107,147,100,60
108,123,109,66
109,107,81,59
110,124,69,47
111,117,74,55
112,100,62,64
113,118,82,69
114,101,62,48
115,93,57,44
116,76,71,65
117,82,78,55
118,75,64,57
119,67,67,57
120,69,77,67
121,77,50,58
122,76,54,80
123,87,53,69
124,67,65,56
125,75,66,65
126,84,77,58
127,77,70,79
128,91,68,81
129,63,70,91
130,76,78,74
131,72,89,87
132,76,91,94
133,86,78,87
134,95,64,85
135,99,90,94
136,82,104,87
137,80,94,91
138,98,84,84
139,88,99,114
140,96,93,107
141,80,94,85
142,94,99,91
143,94,88,87
144,89,90,98
145,106,102,93
146,95,107,76
147,88,94,80
148,83,89,107
149,100,91,88
150,103,94,78
151,84,95,88
152,102,88,84
153,109,96,98
154,94,104,81
155,92,77,79
156,96,98,89
157,91,83,84
158,92,91,90
159,81,71,72
160,87,91,89
161,92,80,100
162,84,81,74
163,84,93,75
164,104,95,92
165,91,92,93
166,98,90,91
167,89,83,104
168,89,84,81
169,89,86,91
170,80,70,94
171,77,96,99
172,70,88,98
173,104,89,105
174,86,89,104
175,88,94,102
176,91,83,102
177,90,94,100
178,97,97,93
179,79,83,101
180,87,100,91
181,77,93,106
182,91,89,96
183,96,87,116
184,100,82,86
185,83,96,90
186,85,99,111
187,80,97,96
188,96,113,104
189,69,88,97
190,82,105,111
191,77,82,95
192,91,104,95
193,96,78,92
194,90,96,102
195,96,104,113
196,105,97,115
197,97,105,120
198,105,98,115
199,93,97,132
200,107,106,136
201,135,117,133
202,129,112,144
203,122,117,167
204,132,142,171
205,107,124,179
206,137,136,193
207,162,160,205
208,158,171,202
209,132,170,213
210,175,171,215
211,158,192,234
212,174,200,235
213,194,202,245
214,198,230,210
215,237,234,240
216,250,243,192
217,216,225,221
218,224,244,229
219,228,245,206
220,210,225,199
221,234,249,189
222,258,226,217
223,271,226,172
224,239,235,176
225,284,233,145
226,253,261,162
227,253,228,155
228,231,205,149
229,255,213,143
230,233,180,126
231,216,175,126
232,202,167,111
233,169,163,129
234,175,122,116
235,137,155,119
236,142,130,118
237,146,123,89
238,119,117,104
239,134,93,102
240,125,109,98
241,118,127,110
242,113,103,98
243,119,83,92
244,111,117,99
245,125,109,93
246,125,101,101
247,120,118,99
248,126,94,112
249,129,113,103
250,134,129,110
251,141,145,129
252,137,108,111
253,152,156,122
254,118,142,112
255,11,21,32
