bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,1,0,0
66,0,0,0
67,0,0,0
68,1,1,1
69,0,0,0
70,1,0,0
71,0,1,1
72,3,1,1
73,0,1,0
74,3,3,1
75,3,3,5
76,2,4,1
77,3,1,3
78,2,2,1
79,1,1,3
80,0,4,4
81,5,2,2
82,4,2,0
83,2,2,2
84,2,1,3
85,0,1,1
86,0,1,1
87,2,3,0
88,0,0,0
89,2,1,3
90,1,1,4
91,1,5,4
92,3,4,4
93,2,1,2
94,1,1,5
95,2,2,1
96,7,5,3
97,1,4,6
98,6,6,3
99,3,4,5
100,7,8,8
101,13,6,4
102,5,10,9
103,15,13,4
104,13,13,14
105,8,9,9
106,10,6,12
107,13,14,17
108,21,21,12
109,13,10,17
110,16,9,15
111,13,21,15
112,21,19,15
113,21,18,11
114,34,17,21
115,15,34,14
116,24,21,29
117,26,24,37
118,28,34,29
119,36,31,28
120,39,32,24
121,33,32,36
122,44,47,58
123,36,47,59
124,53,59,48
125,55,74,59
126,53,43,59
127,52,68,86
128,61,79,105
129,71,65,90
130,80,79,87
131,76,102,96
132,81,77,112
133,93,118,100
134,79,89,97
135,94,94,131
136,89,96,106
137,118,117,109
138,91,104,108
139,102,118,114
140,98,113,123
141,103,107,119
142,95,112,137
143,100,95,111
144,102,113,142
145,97,107,101
146,100,106,127
147,96,99,130
148,90,111,123
149,118,112,123
150,109,122,127
151,116,94,111
152,78,106,110
153,98,102,116
154,104,93,124
155,97,95,141
156,83,96,117
157,89,111,125
158,84,110,120
159,89,103,106
160,109,104,110
161,89,106,109
162,83,110,112
163,95,103,113
164,107,107,108
165,98,106,96
166,92,108,114
167,95,105,117
168,99,110,95
169,95,108,95
170,80,88,113
171,85,97,105
172,89,106,106
173,123,118,102
174,108,96,109
175,85,101,106
176,83,91,96
177,78,79,114
178,82,95,102
179,91,102,112
180,93,72,82
181,87,87,88
182,84,90,67
183,93,77,105
184,80,79,78
185,72,62,75
186,75,78,81
187,83,90,77
188,83,79,83
189,62,79,70
190,77,71,70
191,80,88,56
192,83,78,66
193,68,77,57
194,76,72,59
195,71,68,58
196,69,82,57
197,73,72,52
198,90,74,67
199,60,77,55
200,71,49,59
201,71,60,77
202,69,66,62
203,96,91,85
204,80,72,70
205,91,66,81
206,65,59,92
207,79,62,88
208,77,54,79
209,88,76,94
210,79,80,107
211,87,75,101
212,84,74,102
213,73,76,102
214,73,78,118
215,66,62,101
216,85,67,128
217,69,73,116
218,76,74,98
219,79,85,93
220,66,75,121
221,81,97,117
222,73,79,119
223,75,67,91
224,70,98,108
225,91,109,104
226,97,108,123
227,96,127,104
228,102,130,90
229,136,130,107
230,138,120,140
231,127,101,130
232,146,125,118
233,154,146,119
234,161,119,133
235,148,149,142
236,126,158,167
237,161,166,169
238,138,172,145
239,192,174,118
240,180,182,117
241,202,183,88
242,218,176,89
243,187,134,59
244,139,145,19
245,143,158,6
246,141,139,2
247,139,93,1
248,132,30,1
249,91,9,0
250,35,1,0
251,13,0,0
252,1,0,0
253,0,0,0
254,0,0,0
255,0,0,0
