bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,1
44,0,0,1
45,0,0,2
46,2,0,3
47,3,1,5
48,3,4,7
49,3,3,6
50,7,5,5
51,3,6,3
52,5,7,5
53,7,8,11
54,4,6,4
55,3,8,6
56,7,5,10
57,5,2,10
58,6,12,10
59,9,11,6
60,8,6,11
61,5,11,4
62,8,9,5
63,4,10,8
64,12,4,10
65,9,4,15
66,7,10,12
67,14,15,16
68,14,14,14
69,9,20,19
70,10,16,15
71,18,17,25
72,13,17,12
73,14,18,13
74,12,12,14
75,16,19,12
76,17,14,22
77,21,23,30
78,14,21,20
79,17,25,29
80,14,27,28
81,20,29,35
82,22,44,44
83,26,32,36
84,28,43,40
85,37,60,45
86,49,45,53
87,52,50,59
88,47,56,54
89,42,73,78
90,54,83,97
91,66,69,86
92,67,89,88
93,78,91,98
94,76,104,110
95,85,89,82
96,97,76,91
97,77,69,79
98,100,75,79
99,82,70,74
100,78,71,86
101,87,83,84
102,62,65,85
103,72,79,98
104,72,77,94
105,77,96,105
106,77,105,114
107,95,108,115
108,83,95,127
109,85,108,139
110,93,106,108
111,103,106,139
112,115,122,126
113,92,100,131
114,86,129,143
115,113,124,155
116,108,130,136
117,118,131,153
118,97,141,158
119,130,146,161
120,125,139,150
121,104,138,195
122,142,136,189
123,145,129,174
124,136,150,173
125,134,128,181
126,146,147,187
127,128,143,177
128,114,162,167
129,135,145,193
130,133,143,198
131,146,158,180
132,139,163,206
133,129,133,203
134,125,148,200
135,112,142,195
136,138,116,217
137,134,134,189
138,146,142,201
139,111,132,209
140,133,128,217
141,118,120,195
142,131,130,230
143,114,114,208
144,114,131,195
145,129,145,207
146,103,155,219
147,129,132,217
148,105,151,229
149,115,151,246
150,109,176,256
151,118,174,223
152,142,193,268
153,137,179,278
154,145,175,277
155,129,194,270
156,137,198,277
157,132,175,294
158,131,207,267
159,136,225,290
160,126,226,308
161,130,204,372
162,152,247,333
163,172,244,346
164,183,263,365
165,180,241,382
166,179,229,401
167,186,272,369
168,192,300,391
169,199,284,404
170,208,294,430
171,200,312,452
172,212,331,405
173,258,327,450
174,240,343,471
175,257,363,479
176,229,378,511
177,255,350,531
178,303,369,543
179,293,382,533
180,277,395,567
181,297,432,552
182,342,395,577
183,291,419,523
184,340,431,522
185,319,417,520
186,320,441,548
187,334,441,520
188,367,443,455
189,344,435,457
190,344,450,460
191,329,474,436
192,324,488,415
193,376,478,368
194,350,487,355
195,336,462,384
196,345,474,296
197,363,488,284
198,374,482,284
199,407,482,293
200,377,509,237
201,363,494,219
202,413,485,202
203,422,472,215
204,457,476,192
205,421,444,172
206,490,420,170
207,467,426,155
208,414,383,168
209,490,368,145
210,462,363,132
211,491,361,127
212,505,336,90
213,482,330,102
214,483,301,93
215,426,298,92
216,505,252,91
217,460,232,89
218,464,198,75
219,530,207,59
220,482,156,39
221,440,124,45
222,478,122,46
223,433,102,37
224,386,81,28
225,340,69,30
226,343,67,26
227,305,71,9
228,257,55,8
229,252,62,10
230,197,36,7
231,155,41,0
232,154,44,2
233,127,34,6
234,114,18,2
235,99,9,4
236,84,9,6
237,67,6,3
238,45,6,3
239,27,3,2
240,17,4,1
241,7,1,1
242,7,3,0
243,11,0,2
244,2,0,1
245,3,2,1
246,4,1,1
247,2,3,0
248,3,0,0
249,0,0,0
250,1,1,1
251,0,0,1
252,1,2,0
253,2,0,0
254,0,0,0
255,0,0,0
