bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,1
28,0,0,0
29,0,0,3
30,0,0,2
31,0,0,6
32,1,1,2
33,1,0,6
34,0,1,7
35,0,1,7
36,2,3,7
37,0,4,11
38,3,5,16
39,2,6,16
40,2,4,23
41,2,5,18
42,5,14,21
43,4,16,34
44,10,17,39
45,10,23,45
46,11,32,55
47,20,26,56
48,21,43,66
49,16,64,86
50,32,57,94
51,41,69,95
52,45,79,108
53,60,98,113
54,63,86,108
55,85,119,128
56,83,90,113
57,92,77,130
58,117,123,138
59,113,120,139
60,123,145,123
61,104,130,167
62,119,124,141
63,124,128,138
64,121,111,147
65,124,142,136
66,109,144,140
67,134,140,111
68,117,115,112
69,119,134,135
70,129,114,114
71,118,126,136
72,113,117,106
73,81,120,120
74,104,131,96
75,126,120,115
76,118,110,133
77,106,95,127
78,118,107,123
79,94,98,112
80,105,101,107
81,88,127,114
82,96,111,109
83,85,111,100
84,76,111,97
85,106,99,91
86,116,93,108
87,84,118,105
88,93,83,83
89,91,82,97
90,86,110,101
91,96,96,98
92,99,81,76
93,90,89,77
94,89,90,77
95,86,99,77
96,90,80,71
97,59,83,82
98,88,84,72
99,75,82,66
100,85,79,70
101,88,64,83
102,67,63,48
103,66,65,59
104,68,60,59
105,66,68,68
106,75,72,44
107,66,75,55
108,69,70,50
109,68,63,54
110,72,43,55
111,87,67,51
112,66,53,59
113,69,52,47
114,57,56,41
115,64,49,46
116,80,43,57
117,60,52,40
118,58,45,58
119,56,38,57
120,49,62,52
121,63,51,49
122,55,36,59
123,44,56,57
124,53,38,64
125,44,50,61
126,50,36,65
127,61,56,64
128,48,47,65
129,56,37,80
130,44,46,82
131,50,37,84
132,48,54,96
133,55,47,81
134,41,55,76
135,60,56,91
136,47,40,93
137,50,79,103
138,42,64,102
139,38,61,113
140,44,83,131
141,77,70,125
142,56,62,140
143,56,62,166
144,53,69,179
145,62,74,149
146,63,77,182
147,59,81,173
148,61,102,183
149,83,125,185
150,93,113,221
151,91,124,228
152,98,119,243
153,121,126,232
154,114,146,239
155,125,139,241
156,110,147,236
157,132,145,271
158,133,183,285
159,138,204,307
160,147,188,323
161,161,183,305
162,156,215,317
163,170,245,343
164,179,230,334
165,174,229,320
166,175,252,345
167,209,256,331
168,200,302,326
169,227,287,330
170,231,265,323
171,193,303,343
172,217,323,365
173,238,307,312
174,253,307,356
175,246,325,390
176,242,325,378
177,272,337,384
178,263,364,368
179,288,340,348
180,280,334,370
181,310,348,358
182,304,381,346
183,298,375,320
184,295,385,345
185,302,327,316
186,313,388,335
187,332,357,273
188,321,374,278
189,337,383,245
190,313,344,248
191,311,361,241
192,333,337,229
193,296,347,197
194,322,358,188
195,296,319,172
196,287,306,167
197,304,299,145
198,286,286,129
199,294,289,117
200,292,293,96
201,260,229,94
202,277,266,75
203,273,243,51
204,256,209,47
205,261,199,36
206,274,195,40
207,252,170,30
208,240,140,28
209,263,136,31
210,259,102,36
211,243,119,20
212,256,82,12
213,228,81,23
214,268,68,15
215,216,63,11
216,197,51,6
217,200,39,7
218,206,38,6
219,158,25,10
220,142,22,7
221,143,22,8
222,120,12,3
223,101,14,3
224,88,9,1
225,80,14,1
226,55,8,0
227,59,2,0
228,49,6,0
229,49,3,0
230,27,1,0
231,30,2,0
232,20,0,0
233,8,0,0
234,4,0,0
235,7,0,0
236,3,0,0
237,3,0,0
238,0,0,0
239,4,0,0
240,1,0,0
241,1,0,0
242,1,0,0
243,0,0,0
244,1,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
