bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,1
27,0,0,0
28,1,1,2
29,0,0,1
30,2,2,2
31,2,2,0
32,1,1,0
33,0,0,1
34,0,2,3
35,2,2,6
36,8,4,2
37,2,5,1
38,0,0,6
39,3,1,2
40,4,6,5
41,3,2,6
42,5,6,4
43,5,8,3
44,6,4,3
45,3,2,6
46,5,3,2
47,2,3,6
48,4,8,3
49,6,5,7
50,7,6,8
51,6,7,4
52,6,5,10
53,7,10,1
54,4,4,11
55,8,6,9
56,5,5,4
57,6,5,6
58,5,7,21
59,5,6,17
60,9,7,26
61,7,5,34
62,3,7,23
63,6,14,37
64,4,11,31
65,9,11,39
66,6,15,47
67,8,30,48
68,14,20,62
69,10,48,62
70,24,67,66
71,27,60,90
72,31,75,81
73,60,83,101
74,79,93,114
75,81,113,152
76,101,109,201
77,120,155,245
78,130,200,292
79,188,231,286
80,236,271,284
81,287,325,330
82,325,348,368
83,367,386,406
84,368,398,383
85,376,401,338
86,363,320,291
87,331,310,292
88,271,306,287
89,300,317,314
90,267,311,346
91,288,268,325
92,276,314,331
93,243,279,294
94,262,278,280
95,232,280,206
96,209,271,223
97,230,234,240
98,223,242,215
99,222,216,229
100,189,148,199
101,136,131,162
102,138,127,180
103,125,139,170
104,113,138,134
105,133,131,152
106,158,134,176
107,137,135,145
108,116,113,154
109,119,132,151
110,144,128,168
111,141,151,126
112,120,133,147
113,109,120,132
114,120,125,159
115,129,110,144
116,118,92,130
117,116,92,126
118,99,114,122
119,84,94,108
120,65,82,101
121,55,102,111
122,70,85,100
123,55,85,109
124,70,86,119
125,82,73,112
126,75,68,146
127,57,83,154
128,59,72,152
129,72,83,159
130,66,75,178
131,74,72,189
132,76,83,178
133,74,74,201
134,75,101,174
135,69,94,238
136,68,83,255
137,66,89,227
138,69,89,234
139,63,90,232
140,79,105,237
141,77,114,251
142,74,134,215
143,92,148,219
144,80,170,218
145,73,135,193
146,104,150,257
147,102,134,272
148,103,142,293
149,104,117,321
150,106,158,422
151,106,114,400
152,116,157,453
153,152,125,469
154,136,156,516
155,139,150,477
156,148,153,433
157,116,136,431
158,121,174,405
159,108,191,441
160,115,196,425
161,114,201,478
162,99,197,464
163,109,243,441
164,111,238,444
165,128,229,460
166,127,243,497
167,126,267,449
168,174,259,476
169,172,264,464
170,183,271,445
171,219,279,389
172,220,269,359
173,189,336,348
174,203,346,345
175,163,349,343
176,167,349,313
177,180,380,281
178,178,396,276
179,214,392,266
180,202,407,264
181,195,418,246
182,226,381,250
183,215,413,274
184,242,390,251
185,258,478,268
186,252,433,342
187,309,391,331
188,301,396,378
189,317,382,317
190,376,394,325
191,348,383,357
192,346,397,366
193,367,373,374
194,361,408,350
195,337,387,341
196,374,392,312
197,358,402,305
198,400,467,316
199,398,468,297
200,447,485,256
201,482,479,201
202,484,464,162
203,484,437,104
204,505,472,87
205,509,445,82
206,495,448,68
207,490,491,77
208,501,457,61
209,483,463,50
210,498,465,61
211,520,413,57
212,538,420,44
213,604,448,50
214,598,498,47
215,569,437,44
216,565,327,27
217,577,258,32
218,561,202,32
219,568,171,22
220,612,122,18
221,599,112,24
222,604,94,20
223,520,55,16
224,460,52,24
225,480,42,14
226,421,42,17
227,320,31,8
228,252,37,6
229,172,40,4
230,104,27,5
231,70,13,7
232,57,11,5
233,56,7,3
234,38,6,5
235,33,3,4
236,13,7,5
237,8,3,2
238,8,5,2
239,3,8,1
240,2,2,0
241,1,1,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
