bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,1,0,0
33,2,0,0
34,3,0,0
35,3,1,0
36,6,3,0
37,4,6,0
38,4,2,0
39,16,2,0
40,8,1,3
41,18,3,1
42,17,8,2
43,15,6,4
44,34,6,3
45,36,3,3
46,46,14,0
47,49,5,5
48,45,7,3
49,57,17,4
50,50,17,3
51,42,21,2
52,51,21,9
53,49,32,7
54,55,42,6
55,56,39,3
56,56,41,9
57,72,45,3
58,65,44,12
59,74,50,15
60,72,42,16
61,62,56,18
62,57,44,17
63,82,59,24
64,57,74,36
65,72,62,51
66,60,72,36
67,60,82,42
68,71,64,47
69,77,78,46
70,74,77,54
71,49,65,59
72,57,89,45
73,68,86,52
74,58,71,45
75,43,77,54
76,59,82,72
77,67,69,81
78,52,79,86
79,74,75,77
80,66,69,91
81,74,65,85
82,63,65,81
83,68,74,97
84,66,67,83
85,66,68,85
86,66,68,68
87,70,66,81
88,75,60,96
89,75,73,75
90,77,67,87
91,66,68,97
92,67,68,67
93,56,85,77
94,71,71,70
95,73,68,65
96,64,81,73
97,73,62,82
98,60,77,61
99,63,90,65
100,60,71,69
101,59,79,69
102,70,67,102
103,61,71,86
104,63,80,87
105,75,78,67
106,71,62,93
107,65,77,76
108,57,82,71
109,52,59,99
110,78,76,84
111,66,85,72
112,57,90,99
113,59,75,76
114,50,66,70
115,47,66,90
116,61,69,80
117,57,89,97
118,68,80,95
119,88,85,78
120,80,87,93
121,54,73,102
122,78,82,98
123,93,99,99
124,93,84,101
125,79,92,121
126,73,86,101
127,77,77,95
128,81,90,117
129,69,87,104
130,67,77,121
131,77,86,103
132,78,68,102
133,70,67,107
134,52,63,96
135,48,65,104
136,57,69,91
137,69,62,94
138,70,81,92
139,56,76,86
140,74,81,123
141,72,86,142
142,66,106,122
143,81,87,141
144,103,113,105
145,105,102,167
146,95,119,154
147,101,130,180
148,137,126,175
149,144,163,235
150,188,187,219
151,203,189,236
152,213,254,247
153,258,234,284
154,277,277,245
155,295,259,260
156,319,284,298
157,362,274,293
158,355,300,303
159,373,327,351
160,358,312,341
161,380,314,332
162,386,319,317
163,409,363,322
164,418,329,305
165,437,384,308
166,453,371,305
167,459,368,308
168,467,377,284
169,441,376,238
170,416,380,267
171,383,380,226
172,345,413,231
173,322,379,209
174,293,342,204
175,338,337,204
176,283,356,256
177,266,329,198
178,256,267,254
179,228,278,194
180,188,290,219
181,201,229,234
182,174,180,215
183,148,168,197
184,121,149,229
185,110,102,242
186,91,98,190
187,72,94,173
188,59,76,173
189,69,43,159
190,48,46,133
191,37,56,118
192,44,38,96
193,43,43,69
194,37,34,59
195,25,28,50
196,32,28,36
197,32,30,25
198,15,25,33
199,19,23,27
200,11,27,42
201,20,20,28
202,24,21,36
203,29,24,37
204,23,22,27
205,29,36,21
206,33,30,22
207,8,27,24
208,7,14,18
209,8,21,29
210,5,13,20
211,0,31,18
212,0,29,30
213,0,24,24
214,0,11,35
215,0,14,32
216,0,8,21
217,0,2,21
218,0,6,17
219,0,4,17
220,0,4,18
221,0,1,15
222,0,0,8
223,0,0,11
224,0,0,9
225,0,0,2
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
