bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,1
77,0,0,0
78,0,0,0
79,0,0,2
80,0,0,0
81,0,0,2
82,0,0,0
83,0,0,2
84,0,1,3
85,0,0,1
86,0,1,2
87,0,0,2
88,0,1,5
89,0,1,4
90,0,0,9
91,0,1,10
92,2,1,8
93,0,2,10
94,1,3,8
95,0,2,12
96,1,2,16
97,2,4,21
98,2,8,25
99,2,8,33
100,1,10,29
101,7,8,32
102,3,9,34
103,3,18,48
104,7,14,50
105,5,17,59
106,8,10,49
107,9,20,57
108,6,18,67
109,10,21,70
110,6,16,81
111,15,23,88
112,11,30,85
113,12,42,90
114,29,36,86
115,12,56,69
116,17,60,91
117,16,56,84
118,22,65,95
119,28,62,94
120,28,83,74
121,38,62,90
122,61,79,104
123,36,79,87
124,51,94,65
125,60,71,78
126,54,80,81
127,49,80,80
128,66,75,80
129,72,75,82
130,60,85,78
131,89,97,78
132,75,91,78
133,94,88,89
134,90,81,102
135,94,87,92
136,76,88,77
137,84,85,70
138,72,92,104
139,79,66,100
140,74,88,88
141,96,68,88
142,104,78,94
143,95,79,87
144,107,98,83
145,91,84,86
146,62,103,80
147,85,76,85
148,70,66,67
149,68,85,74
150,78,83,65
151,78,87,79
152,55,89,68
153,70,76,69
154,72,87,56
155,84,68,64
156,78,77,88
157,69,78,64
158,71,72,69
159,71,76,71
160,74,68,70
161,71,90,68
162,90,61,58
163,90,68,73
164,76,85,80
165,66,71,72
166,83,66,70
167,73,65,84
168,57,56,78
169,61,64,75
170,72,58,77
171,89,63,98
172,65,68,85
173,66,71,94
174,57,82,97
175,73,75,90
176,78,79,102
177,67,63,98
178,76,59,100
179,58,81,121
180,67,72,121
181,69,65,129
182,71,74,128
183,70,78,130
184,74,89,128
185,75,76,150
186,56,72,116
187,68,98,151
188,82,105,131
189,83,94,146
190,72,81,135
191,64,84,136
192,69,123,131
193,75,86,124
194,77,94,156
195,80,112,145
196,88,98,115
197,80,116,123
198,91,118,112
199,93,119,102
200,93,125,113
201,85,115,108
202,80,119,113
203,67,123,99
204,83,113,84
205,87,140,101
206,89,125,101
207,109,137,113
208,113,117,105
209,95,114,107
210,99,121,138
211,90,110,147
212,124,111,125
213,119,101,159
214,121,99,148
215,114,97,136
216,154,83,157
217,143,89,150
218,149,100,116
219,111,104,126
220,113,93,101
221,126,103,93
222,102,90,106
223,97,117,70
224,98,111,71
225,101,123,79
226,97,142,76
227,106,128,91
228,82,154,84
229,86,176,68
230,94,176,79
231,104,178,93
232,91,166,99
233,125,168,101
234,122,151,72
235,129,152,76
236,139,114,85
237,177,124,91
238,214,103,89
239,239,104,88
240,244,112,115
241,243,108,86
242,210,106,101
243,198,126,87
244,181,118,93
245,156,135,116
246,137,105,98
247,155,91,93
248,162,99,64
249,157,106,69
250,140,110,77
251,164,103,66
252,151,137,38
253,145,192,63
254,332,206,13
255,969,501,16
