bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,2,0,0
71,0,0,0
72,3,0,0
73,6,0,0
74,14,1,0
75,17,0,0
76,28,2,0
77,34,6,0
78,44,4,0
79,66,10,0
80,85,23,0
81,96,21,0
82,104,27,3
83,113,49,3
84,115,41,6
85,120,55,11
86,140,78,15
87,160,91,28
88,152,87,29
89,182,116,46
90,159,130,42
91,155,136,47
92,160,159,75
93,191,163,72
94,189,172,88
95,210,165,115
96,173,200,121
97,198,171,111
98,187,205,136
99,207,202,157
100,151,218,144
101,171,202,171
102,182,206,195
103,182,210,203
104,163,218,214
105,152,191,234
106,153,203,263
107,187,229,239
108,188,215,245
109,193,212,225
110,241,263,282
111,239,244,289
112,276,268,274
113,291,296,286
114,292,316,279
115,339,314,279
116,328,305,285
117,350,355,321
118,341,351,327
119,370,370,341
120,427,402,335
121,374,424,334
122,377,414,402
123,373,382,360
124,327,372,368
125,317,359,391
126,298,288,378
127,270,296,346
128,269,261,317
129,241,262,306
130,249,218,264
131,214,225,309
132,186,186,285
133,161,206,260
134,144,164,235
135,114,163,245
136,125,136,205
137,103,146,198
138,103,136,192
139,102,138,188
140,114,138,188
141,128,143,160
142,124,130,167
143,103,118,179
144,90,136,167
145,95,115,153
146,120,132,165
147,112,169,184
148,148,170,201
149,148,183,231
150,185,232,230
151,177,237,233
152,205,260,232
153,197,248,253
154,231,301,269
155,257,246,320
156,245,263,348
157,239,274,352
158,278,258,425
159,262,302,454
160,255,310,428
161,276,287,502
162,253,249,541
163,266,319,617
164,266,314,703
165,237,332,674
166,253,338,591
167,254,330,586
168,245,370,527
169,248,350,445
170,248,394,472
171,260,356,407
172,239,388,407
173,244,413,344
174,233,399,282
175,251,396,347
176,231,444,280
177,241,411,341
178,238,456,315
179,285,448,352
180,309,396,372
181,340,393,361
182,378,347,302
183,350,305,329
184,376,296,362
185,371,295,372
186,381,295,382
187,399,322,385
188,420,355,375
189,427,333,334
190,447,339,326
191,439,317,323
192,485,330,316
193,388,320,323
194,387,269,323
195,377,291,351
196,334,276,387
197,339,262,443
198,332,276,512
199,343,261,638
200,372,314,776
201,394,326,844
202,417,381,951
203,489,446,987
204,569,466,869
205,642,625,785
206,650,616,755
207,680,724,781
208,752,746,783
209,785,720,710
210,812,714,658
211,858,760,646
212,826,805,638
213,721,771,605
214,730,756,550
215,624,732,546
216,639,567,451
217,629,636,339
218,669,575,382
219,606,584,362
220,611,608,366
221,652,707,412
222,610,715,328
223,743,810,339
224,838,891,310
225,760,925,324
226,790,704,248
227,678,435,171
228,477,360,135
229,447,325,99
230,368,284,62
231,256,220,52
232,207,139,46
233,170,108,36
234,146,78,30
235,102,53,21
236,79,55,6
237,84,39,2
238,58,28,0
239,64,24,0
240,41,17,0
241,34,6,0
242,37,2,0
243,17,0,0
244,3,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
