bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,1
44,0,0,0
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,2
49,0,0,0
50,0,0,0
51,0,0,7
52,0,0,6
53,0,0,5
54,0,0,8
55,0,0,4
56,0,2,8
57,0,0,9
58,0,0,7
59,0,2,17
60,0,1,24
61,0,0,22
62,0,1,24
63,0,4,27
64,0,1,32
65,1,5,29
66,0,2,32
67,1,2,35
68,0,11,48
69,1,5,50
70,2,7,65
71,0,17,44
72,2,13,44
73,1,24,41
74,1,13,52
75,1,11,68
76,3,20,49
77,1,23,54
78,8,22,53
79,1,30,47
80,7,34,45
81,4,43,41
82,14,35,39
83,19,41,50
84,7,45,35
85,11,40,52
86,16,50,33
87,17,48,43
88,28,52,39
89,25,51,45
90,19,46,43
91,12,39,38
92,22,41,47
93,29,45,49
94,34,35,52
95,35,37,52
96,35,45,40
97,39,39,46
98,38,36,55
99,37,42,53
100,52,32,51
101,38,39,69
102,47,34,51
103,44,26,48
104,40,52,59
105,39,38,62
106,42,35,59
107,41,38,56
108,35,46,60
109,36,49,76
110,43,42,69
111,39,48,73
112,51,40,72
113,45,42,81
114,41,58,72
115,40,50,81
116,39,45,70
117,33,41,94
118,36,53,80
119,39,66,82
120,34,72,89
121,44,71,94
122,41,70,81
123,45,66,88
124,43,76,92
125,44,74,113
126,55,70,105
127,63,81,102
128,64,74,112
129,55,78,132
130,77,98,124
131,55,100,112
132,54,102,128
133,54,103,107
134,76,105,114
135,66,105,124
136,71,88,128
137,87,130,147
138,83,94,136
139,80,132,132
140,84,118,144
141,98,126,124
142,82,119,140
143,110,118,136
144,108,118,111
145,108,119,142
146,102,107,136
147,103,108,147
148,99,94,136
149,119,104,115
150,117,122,116
151,102,99,110
152,86,102,97
153,97,124,102
154,93,111,94
155,99,113,93
156,86,99,96
157,81,110,88
158,100,113,78
159,107,97,83
160,95,103,71
161,109,90,60
162,95,85,64
163,108,86,71
164,109,89,93
165,96,92,75
166,100,89,72
167,83,76,76
168,85,93,49
169,80,103,57
170,94,88,36
171,87,80,37
172,86,84,45
173,102,94,44
174,85,77,29
175,89,91,27
176,78,87,35
177,67,62,41
178,81,67,32
179,83,78,29
180,73,77,17
181,66,74,48
182,70,60,39
183,92,58,37
184,60,52,36
185,60,52,27
186,79,50,39
187,65,48,34
188,66,35,32
189,50,41,49
190,73,46,37
191,54,35,49
192,71,33,58
193,56,46,56
194,49,27,66
195,60,32,75
196,52,35,83
197,41,35,93
198,68,36,95
199,54,37,113
200,45,37,113
201,59,44,90
202,65,41,85
203,58,30,74
204,43,55,74
205,63,36,75
206,67,36,54
207,57,36,55
208,55,31,44
209,49,27,62
210,36,36,52
211,52,39,40
212,72,31,50
213,57,44,61
214,63,58,49
215,46,42,57
216,51,64,58
217,45,68,61
218,47,63,66
219,50,95,52
220,38,109,54
221,37,122,55
222,44,127,56
223,40,124,57
224,45,99,47
225,47,106,75
226,48,109,81
227,50,82,45
228,65,70,33
229,49,78,41
230,63,70,50
231,75,48,49
232,79,71,48
233,121,74,68
234,134,73,50
235,145,83,63
236,138,74,53
237,156,83,44
238,154,65,33
239,156,66,47
240,146,61,44
241,110,75,26
242,85,76,22
243,90,104,25
244,102,95,26
245,100,69,33
246,97,64,38
247,107,71,27
248,99,100,12
249,97,102,29
250,104,105,24
251,128,69,18
252,116,69,8
253,102,51,6
254,176,79,0
255,555,109,0
