bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,2
81,0,0,0
82,0,0,1
83,0,2,2
84,0,0,1
85,0,2,1
86,0,0,2
87,3,0,3
88,1,1,2
89,2,3,6
90,2,1,2
91,6,4,6
92,1,2,4
93,1,3,5
94,1,4,6
95,1,3,3
96,3,5,5
97,6,1,6
98,5,5,5
99,0,7,7
100,6,7,10
101,6,5,11
102,1,3,14
103,7,6,11
104,10,9,16
105,6,12,19
106,7,10,21
107,7,8,12
108,10,13,19
109,15,19,29
110,14,25,22
111,17,16,26
112,16,24,33
113,29,24,32
114,19,33,23
115,32,31,35
116,30,42,35
117,25,32,35
118,30,27,34
119,24,20,32
120,27,36,26
121,34,42,29
122,30,28,33
123,34,30,26
124,23,33,34
125,24,27,47
126,30,22,32
127,25,30,35
128,33,42,58
129,25,49,55
130,39,47,71
131,47,52,90
132,42,61,91
133,74,74,98
134,88,99,122
135,87,114,113
136,110,98,127
137,84,107,121
138,93,99,110
139,82,69,76
140,70,81,86
141,60,75,99
142,75,86,71
143,75,74,59
144,60,81,83
145,57,76,72
146,49,65,69
147,43,64,47
148,53,47,44
149,44,44,49
150,59,41,63
151,58,37,59
152,51,27,62
153,46,41,52
154,42,44,63
155,36,44,58
156,22,39,56
157,39,29,54
158,21,45,48
159,26,62,56
160,34,45,62
161,21,42,60
162,39,47,57
163,41,39,59
164,37,54,68
165,38,55,54
166,33,42,71
167,36,37,56
168,42,43,60
169,39,49,77
170,42,44,54
171,40,47,69
172,49,54,74
173,57,44,63
174,45,45,65
175,41,48,77
176,46,45,57
177,48,48,57
178,46,53,63
179,43,44,54
180,47,47,60
181,51,47,51
182,32,61,51
183,40,47,62
184,56,42,45
185,32,54,58
186,41,37,61
187,41,43,61
188,34,48,60
189,41,58,52
190,43,51,52
191,45,41,46
192,34,33,45
193,47,42,49
194,55,39,42
195,31,44,56
196,50,51,53
197,42,55,46
198,50,48,52
199,52,45,48
200,53,45,54
201,35,33,38
202,40,33,72
203,39,21,53
204,38,36,63
205,40,47,61
206,42,33,94
207,31,42,52
208,32,48,79
209,37,44,71
210,49,51,74
211,51,58,84
212,41,65,82
213,62,67,85
214,56,63,82
215,47,62,115
216,41,57,86
217,42,64,89
218,47,61,112
219,48,56,135
220,30,83,125
221,51,60,121
222,44,69,150
223,54,66,169
224,52,86,167
225,47,61,166
226,64,72,159
227,52,82,164
228,58,92,180
229,69,107,164
230,80,117,209
231,96,104,169
232,94,122,161
233,117,121,145
234,109,118,129
235,116,112,111
236,110,160,130
237,133,161,101
238,124,174,121
239,163,170,76
240,161,247,33
241,129,237,39
242,146,220,42
243,176,196,54
244,209,229,39
245,184,196,42
246,258,196,18
247,289,176,8
248,300,225,12
249,293,212,6
250,223,157,11
251,182,88,4
252,163,60,1
253,173,54,0
254,290,69,0
255,545,83,0
