bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,5,2,1
19,5,5,4
20,10,6,7
21,5,8,4
22,2,5,5
23,3,1,3
24,1,3,2
25,3,2,1
26,2,1,3
27,2,2,2
28,2,4,1
29,3,1,3
30,1,3,2
31,3,0,1
32,3,3,3
33,8,4,2
34,8,7,3
35,15,2,4
36,31,11,8
37,24,16,8
38,19,24,16
39,14,14,22
40,13,28,16
41,19,19,22
42,15,16,16
43,21,14,7
44,13,22,14
45,14,10,14
46,19,13,19
47,24,14,18
48,19,18,14
49,26,14,14
50,19,23,16
51,18,24,22
52,23,17,16
53,16,12,29
54,19,18,30
55,22,21,20
56,35,24,27
57,31,22,20
58,31,28,23
59,32,29,24
60,48,19,29
61,39,31,27
62,54,41,41
63,59,41,30
64,70,27,44
65,47,43,36
66,67,51,35
67,64,55,55
68,81,49,44
69,84,68,43
70,73,60,60
71,85,50,63
72,74,60,60
73,85,82,79
74,116,76,68
75,110,81,72
76,129,78,67
77,134,114,99
78,126,113,94
79,135,125,104
80,136,126,131
81,151,147,146
82,141,146,144
83,144,158,150
84,184,181,176
85,164,168,156
86,197,162,188
87,171,168,190
88,183,184,202
89,199,199,210
90,180,192,187
91,202,212,223
92,191,197,241
93,198,234,231
94,196,234,227
95,212,216,246
96,190,208,268
97,207,214,275
98,204,246,260
99,213,221,287
100,224,228,266
101,223,242,257
102,195,233,260
103,204,209,245
104,178,242,251
105,192,199,245
106,209,222,255
107,174,254,231
108,163,215,245
109,161,233,223
110,139,218,239
111,167,194,233
112,136,194,266
113,142,188,239
114,142,193,229
115,161,167,231
116,121,164,230
117,160,172,244
118,130,168,259
119,133,174,252
120,126,153,275
121,98,144,227
122,96,144,222
123,98,153,201
124,109,154,221
125,109,148,242
126,124,163,249
127,120,129,252
128,93,133,217
129,77,136,231
130,103,157,255
131,92,119,235
132,92,113,265
133,109,137,277
134,103,139,300
135,102,160,270
136,100,159,315
137,84,144,335
138,97,156,329
139,82,168,358
140,101,152,352
141,112,163,334
142,130,180,381
143,103,215,370
144,121,226,406
145,128,218,357
146,124,223,418
147,134,276,398
148,151,249,402
149,132,315,429
150,137,326,404
151,156,328,403
152,159,325,429
153,173,375,428
154,168,328,487
155,213,342,467
156,214,369,457
157,227,362,473
158,228,393,475
159,247,372,424
160,265,338,482
161,263,420,465
162,269,386,445
163,272,401,431
164,291,403,462
165,270,435,450
166,309,416,443
167,309,393,401
168,322,407,438
169,334,435,402
170,327,464,417
171,334,460,417
172,295,486,402
173,311,469,381
174,319,481,398
175,312,467,384
176,334,497,373
177,363,477,356
178,368,522,301
179,363,479,326
180,344,464,323
181,347,439,311
182,329,426,340
183,327,424,350
184,312,440,333
185,372,438,300
186,362,474,310
187,393,416,304
188,421,489,265
189,394,439,243
190,473,422,247
191,460,391,233
192,467,393,223
193,483,355,247
194,494,319,195
195,506,342,194
196,487,332,167
197,502,344,171
198,469,316,179
199,500,318,158
200,425,299,151
201,479,302,168
202,452,299,183
203,435,269,205
204,423,288,217
205,416,244,226
206,407,237,213
207,432,250,184
208,478,241,163
209,440,256,129
210,435,185,132
211,377,134,129
212,344,135,146
213,318,100,118
214,330,116,105
215,306,98,110
216,290,107,112
217,263,115,86
218,260,107,88
219,244,137,76
220,216,160,78
221,198,147,82
222,215,191,87
223,184,168,77
224,219,185,87
225,208,197,61
226,204,166,65
227,205,173,56
228,202,162,72
229,200,165,44
230,241,135,43
231,364,96,25
232,424,95,19
233,423,53,8
234,329,50,13
235,235,23,14
236,188,17,4
237,143,12,5
238,80,13,2
239,44,4,2
240,35,5,0
241,19,1,0
242,15,0,0
243,3,0,0
244,5,0,0
245,4,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
