bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,1,1,1
41,1,0,0
42,0,1,1
43,0,0,0
44,0,0,0
45,1,1,1
46,0,0,0
47,0,0,0
48,0,0,0
49,1,1,1
50,0,0,0
51,2,1,1
52,0,1,1
53,1,0,0
54,1,0,0
55,5,1,0
56,2,0,0
57,5,1,1
58,5,5,2
59,2,8,3
60,4,4,2
61,5,5,2
62,10,3,8
63,10,7,7
64,8,7,3
65,8,8,7
66,8,3,12
67,14,8,3
68,8,11,3
69,6,6,5
70,10,10,5
71,8,10,6
72,5,11,10
73,7,6,11
74,8,6,5
75,14,6,7
76,8,5,12
77,4,9,8
78,12,8,5
79,10,6,5
80,13,9,10
81,12,14,2
82,16,7,6
83,10,12,12
84,11,14,7
85,11,12,15
86,17,11,12
87,13,11,15
88,20,14,13
89,19,17,11
90,14,18,19
91,25,12,14
92,28,14,15
93,27,26,19
94,30,19,20
95,37,30,22
96,31,33,24
97,36,38,27
98,43,35,28
99,44,52,38
100,48,53,38
101,62,60,45
102,59,74,62
103,65,61,69
104,83,74,67
105,80,79,98
106,79,103,116
107,94,107,91
108,114,134,96
109,100,129,150
110,100,131,151
111,145,127,157
112,130,158,168
113,149,162,146
114,171,173,169
115,172,190,172
116,182,159,184
117,191,209,191
118,182,210,198
119,214,233,223
120,200,228,235
121,235,251,213
122,223,227,262
123,202,260,235
124,217,223,217
125,223,257,228
126,209,223,233
127,231,228,231
128,206,225,213
129,203,213,219
130,211,208,222
131,208,216,185
132,195,175,206
133,210,157,188
134,188,193,203
135,180,193,189
136,151,138,173
137,148,133,166
138,151,164,141
139,125,138,151
140,176,122,158
141,124,121,116
142,111,130,137
143,118,115,113
144,104,101,123
145,107,101,117
146,105,111,104
147,97,86,104
148,87,97,121
149,90,94,118
150,102,99,101
151,87,118,116
152,103,101,116
153,92,107,109
154,106,111,133
155,104,97,120
156,99,119,126
157,103,111,105
158,103,119,120
159,103,119,105
160,99,96,99
161,107,110,119
162,107,105,103
163,100,103,110
164,97,88,113
165,116,106,123
166,123,131,135
167,101,109,146
168,101,149,143
169,126,142,144
170,126,132,172
171,134,125,152
172,115,150,154
173,134,127,154
174,111,134,164
175,136,159,169
176,134,160,168
177,134,144,189
178,129,154,181
179,141,164,197
180,183,163,183
181,155,176,174
182,149,161,187
183,179,162,183
184,143,168,172
185,161,169,223
186,162,165,213
187,160,187,237
188,207,191,195
189,188,223,236
190,186,181,185
191,184,165,237
192,161,169,257
193,188,178,301
194,176,192,299
195,169,193,395
196,169,165,427
197,147,170,492
198,130,158,497
199,121,151,488
200,113,146,475
201,106,117,534
202,120,143,459
203,125,175,349
204,113,219,259
205,94,246,224
206,121,233,186
207,123,258,172
208,143,293,165
209,149,346,155
210,160,406,158
211,160,519,150
212,223,464,135
213,198,384,127
214,239,345,108
215,239,242,98
216,213,221,120
217,238,235,111
218,296,198,114
219,262,204,118
220,261,188,144
221,252,176,137
222,244,151,161
223,236,173,175
224,263,156,172
225,296,165,148
226,299,181,161
227,315,231,181
228,354,226,128
229,424,290,109
230,386,293,77
231,320,217,49
232,297,185,32
233,342,160,29
234,357,113,28
235,301,86,23
236,255,50,9
237,188,43,5
238,172,33,8
239,96,20,6
240,66,15,3
241,45,7,2
242,28,2,2
243,10,6,2
244,9,3,3
245,5,5,0
246,4,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
