bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,1,0,0
57,0,0,0
58,0,1,1
59,0,0,0
60,1,0,0
61,1,0,1
62,1,1,0
63,0,0,2
64,0,2,0
65,0,0,0
66,1,0,0
67,0,0,0
68,0,1,1
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,0,0
78,1,0,0
79,2,1,1
80,0,1,1
81,0,0,2
82,1,2,2
83,2,2,4
84,3,2,5
85,3,3,2
86,1,3,3
87,3,3,9
88,2,4,6
89,5,5,4
90,6,9,8
91,7,12,7
92,11,12,4
93,13,14,9
94,15,17,17
95,13,12,13
96,19,14,17
97,26,22,17
98,28,30,19
99,30,27,19
100,27,25,23
101,34,34,24
102,32,30,29
103,44,40,42
104,50,43,28
105,56,53,28
106,56,66,35
107,64,52,37
108,86,87,56
109,60,77,54
110,77,78,65
111,74,74,71
112,83,70,89
113,75,82,99
114,64,87,92
115,85,83,96
116,85,97,94
117,102,90,80
118,99,90,100
119,120,132,110
120,107,118,122
121,124,125,117
122,135,126,134
123,148,116,128
124,126,130,126
125,145,128,120
126,135,138,132
127,121,136,148
128,120,129,133
129,135,140,127
130,134,144,160
131,166,152,143
132,135,151,139
133,175,146,163
134,156,166,134
135,163,147,170
136,167,156,168
137,158,154,148
138,133,138,148
139,142,161,127
140,167,164,170
141,151,142,155
142,139,145,125
143,139,145,157
144,113,113,151
145,111,127,157
146,110,95,122
147,87,85,116
148,98,104,105
149,79,94,109
150,81,79,95
151,79,77,81
152,70,81,76
153,60,72,70
154,66,66,78
155,67,57,66
156,54,50,70
157,57,56,60
158,59,55,55
159,53,51,69
160,56,63,51
161,66,64,58
162,63,61,47
163,53,51,39
164,35,31,43
165,53,47,31
166,38,42,39
167,27,23,35
168,30,40,32
169,41,39,30
170,36,37,30
171,32,16,30
172,17,19,28
173,27,28,15
174,18,24,25
175,19,16,23
176,13,18,16
177,26,18,19
178,11,16,12
179,12,14,10
180,9,10,14
181,19,18,15
182,12,15,15
183,15,14,12
184,19,15,16
185,13,17,11
186,11,12,15
187,19,18,10
188,10,14,10
189,20,11,18
190,10,7,11
191,10,14,13
192,14,8,9
193,9,10,8
194,11,18,12
195,13,18,16
196,18,7,16
197,14,12,14
198,24,19,20
199,18,20,28
200,24,16,19
201,31,30,33
202,25,28,38
203,31,32,34
204,33,45,29
205,31,29,21
206,31,31,30
207,28,29,48
208,28,20,29
209,36,44,23
210,32,29,26
211,23,27,36
212,29,30,35
213,33,22,30
214,21,21,25
215,29,32,22
216,46,39,30
217,46,42,41
218,38,36,35
219,26,36,49
220,34,39,39
221,33,35,43
222,36,32,53
223,29,42,34
224,29,37,38
225,42,34,42
226,37,38,50
227,40,40,47
228,48,46,48
229,43,48,57
230,43,52,57
231,45,46,44
232,53,55,47
233,43,50,63
234,55,56,46
235,55,46,50
236,41,44,57
237,63,61,51
238,58,55,41
239,48,55,45
240,59,48,46
241,76,61,50
242,36,46,44
243,70,59,71
244,75,67,74
245,59,74,77
246,104,92,83
247,175,155,179
248,212,186,173
249,323,292,280
250,361,365,353
251,291,277,273
252,291,270,301
253,295,328,324
254,400,443,418
255,145,179,137
