bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,1
71,0,0,0
72,0,0,0
73,0,0,1
74,0,0,1
75,0,0,1
76,0,1,2
77,0,0,6
78,0,0,3
79,0,0,3
80,1,1,10
81,0,2,13
82,0,1,10
83,0,3,21
84,0,2,22
85,1,10,26
86,1,2,19
87,2,11,26
88,1,9,49
89,5,14,34
90,4,23,49
91,5,18,61
92,6,32,66
93,10,22,85
94,8,47,87
95,8,50,104
96,17,60,86
97,18,66,98
98,30,68,103
99,25,75,96
100,46,60,125
101,44,76,134
102,35,75,120
103,49,88,131
104,56,104,126
105,59,101,138
106,64,110,130
107,48,99,141
108,59,119,138
109,73,119,136
110,71,127,135
111,62,115,159
112,75,149,142
113,89,136,156
114,108,151,135
115,108,131,139
116,95,152,120
117,129,139,136
118,108,152,110
119,135,134,132
120,136,150,137
121,154,169,121
122,156,137,119
123,146,141,104
124,145,129,123
125,149,135,105
126,144,139,101
127,140,114,103
128,137,116,107
129,171,98,140
130,158,126,139
131,149,126,121
132,140,118,142
133,118,134,138
134,130,116,134
135,142,144,142
136,123,123,124
137,119,124,119
138,144,124,147
139,162,114,134
140,143,134,145
141,149,110,136
142,139,134,154
143,125,110,128
144,114,121,168
145,118,107,134
146,90,107,154
147,117,110,153
148,101,125,150
149,91,110,165
150,101,122,165
151,92,141,187
152,120,117,160
153,112,113,171
154,115,134,174
155,124,117,170
156,95,127,177
157,145,123,194
158,119,115,188
159,101,136,173
160,97,135,169
161,110,137,169
162,96,138,183
163,108,145,214
164,106,155,212
165,119,160,185
166,113,154,212
167,103,154,228
168,91,176,198
169,132,139,210
170,121,181,185
171,108,171,178
172,107,165,164
173,133,167,205
174,122,197,204
175,131,172,191
176,121,181,201
177,114,143,186
178,121,178,190
179,123,160,169
180,121,176,168
181,153,158,177
182,109,152,177
183,130,156,182
184,122,143,166
185,145,155,179
186,147,164,158
187,129,138,177
188,144,153,186
189,158,134,156
190,137,129,174
191,155,117,186
192,137,114,154
193,117,131,180
194,187,109,160
195,132,125,167
196,133,96,161
197,142,111,155
198,122,127,128
199,131,100,163
200,118,123,130
201,122,111,137
202,134,116,146
203,151,133,155
204,125,112,167
205,122,128,138
206,116,129,153
207,120,130,127
208,121,139,122
209,114,136,129
210,111,151,137
211,103,138,145
212,112,163,143
213,111,184,123
214,107,192,127
215,88,187,93
216,115,183,118
217,98,193,120
218,84,186,138
219,103,190,125
220,89,212,138
221,104,221,151
222,85,179,100
223,102,174,114
224,129,153,136
225,121,145,116
226,110,140,123
227,124,165,105
228,157,176,88
229,140,177,77
230,200,185,76
231,197,159,69
232,189,187,61
233,231,176,70
234,228,162,67
235,234,159,76
236,255,154,73
237,279,146,83
238,240,162,114
239,195,147,83
240,213,146,85
241,229,127,86
242,226,109,53
243,221,114,47
244,232,108,38
245,220,89,40
246,199,70,58
247,268,86,42
248,272,98,27
249,253,126,28
250,229,140,31
251,231,108,18
252,236,100,17
253,236,102,6
254,426,126,0
255,657,96,0
