bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,1
27,0,0,1
28,0,0,0
29,1,1,1
30,0,1,1
31,1,1,0
32,0,3,3
33,0,1,8
34,1,5,8
35,3,7,7
36,6,8,9
37,9,19,16
38,14,23,28
39,14,26,20
40,22,35,35
41,29,50,45
42,49,69,64
43,64,81,77
44,70,114,115
45,93,109,111
46,101,140,177
47,116,168,156
48,164,184,156
49,176,204,205
50,179,223,230
51,177,222,234
52,197,238,255
53,228,258,254
54,249,253,285
55,218,293,270
56,231,250,265
57,225,251,288
58,224,261,267
59,274,275,286
60,246,281,276
61,248,260,312
62,236,265,295
63,267,269,290
64,272,282,276
65,275,288,281
66,271,251,272
67,262,265,258
68,251,268,239
69,255,259,252
70,279,244,210
71,256,235,209
72,256,255,256
73,268,233,222
74,231,241,224
75,233,203,233
76,232,219,206
77,231,233,213
78,218,201,202
79,236,208,190
80,213,226,203
81,232,189,167
82,201,212,197
83,188,191,169
84,191,202,157
85,212,174,160
86,217,183,161
87,189,168,160
88,173,173,182
89,194,164,169
90,187,169,152
91,183,132,146
92,181,141,143
93,182,164,170
94,166,150,153
95,160,150,162
96,158,127,146
97,175,172,150
98,145,142,159
99,174,167,160
100,157,166,145
101,171,173,169
102,169,170,192
103,163,154,159
104,176,181,187
105,185,180,181
106,172,205,201
107,163,159,213
108,176,202,209
109,175,171,171
110,179,181,211
111,190,198,210
112,191,189,214
113,193,208,248
114,190,225,225
115,189,203,234
116,203,229,251
117,217,232,234
118,208,249,258
119,192,238,242
120,187,248,259
121,230,255,268
122,218,240,292
123,247,248,272
124,218,245,306
125,219,245,284
126,228,229,279
127,204,265,294
128,200,243,299
129,228,272,348
130,201,252,342
131,244,264,353
132,205,257,349
133,188,257,370
134,208,268,357
135,198,255,376
136,208,273,425
137,188,288,428
138,218,290,422
139,200,280,445
140,214,267,430
141,232,307,470
142,233,302,431
143,208,311,453
144,257,320,476
145,240,323,438
146,290,338,464
147,267,342,480
148,291,372,459
149,293,424,517
150,290,427,458
151,310,427,470
152,291,420,495
153,340,449,497
154,308,479,465
155,362,520,428
156,370,525,436
157,372,522,410
158,400,464,386
159,431,503,424
160,397,495,391
161,410,523,419
162,450,515,362
163,523,502,365
164,489,483,376
165,523,471,335
166,534,453,335
167,551,429,341
168,578,432,358
169,549,452,358
170,540,387,349
171,548,374,359
172,565,376,407
173,524,386,362
174,474,414,394
175,452,363,390
176,448,377,398
177,445,391,410
178,443,378,421
179,427,383,442
180,440,415,421
181,410,431,476
182,424,437,495
183,448,451,512
184,444,427,536
185,476,469,563
186,490,495,582
187,467,485,596
188,448,454,618
189,453,453,626
190,467,449,681
191,440,487,632
192,469,522,596
193,482,517,545
194,474,568,596
195,538,548,517
196,493,576,490
197,528,672,485
198,463,681,464
199,560,644,392
200,613,559,316
201,584,468,294
202,570,457,272
203,667,415,264
204,632,408,209
205,574,329,196
206,535,338,168
207,467,275,160
208,428,249,137
209,366,204,118
210,300,178,110
211,272,171,101
212,248,173,114
213,216,147,86
214,206,149,106
215,200,117,104
216,180,118,88
217,159,105,80
218,129,113,67
219,125,96,92
220,121,96,83
221,124,93,71
222,105,92,74
223,110,86,63
224,99,77,70
225,104,89,65
226,101,87,52
227,94,83,52
228,98,92,62
229,109,80,45
230,91,66,47
231,84,68,52
232,90,67,46
233,78,44,47
234,54,45,54
235,65,49,64
236,65,52,42
237,69,50,40
238,56,52,47
239,52,50,52
240,52,41,44
241,49,51,36
242,49,51,45
243,39,42,35
244,39,36,47
245,46,45,46
246,48,38,49
247,40,60,56
248,33,58,51
249,57,62,74
250,59,83,58
251,67,58,62
252,78,99,52
253,113,90,50
254,161,84,35
255,212,32,26
