bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,1,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,1
54,0,1,0
55,4,2,0
56,6,1,1
57,7,1,2
58,8,3,0
59,10,1,4
60,20,6,4
61,24,9,4
62,32,10,5
63,36,18,8
64,47,22,14
65,46,18,18
66,56,28,15
67,70,40,28
68,101,34,28
69,97,47,30
70,135,58,46
71,138,66,39
72,163,72,52
73,188,96,60
74,207,106,64
75,228,116,82
76,214,130,104
77,268,170,127
78,247,166,124
79,229,185,140
80,271,237,163
81,250,224,163
82,231,267,168
83,218,226,178
84,248,251,200
85,226,281,238
86,203,277,246
87,181,275,259
88,195,268,276
89,179,245,281
90,161,248,295
91,178,267,288
92,159,215,294
93,157,228,281
94,149,212,276
95,143,205,233
96,162,189,231
97,131,170,200
98,124,130,226
99,122,141,181
100,111,146,197
101,120,126,162
102,102,129,159
103,92,104,147
104,93,113,109
105,97,93,98
106,82,99,102
107,79,107,123
108,83,92,116
109,65,71,111
110,72,79,111
111,63,81,104
112,69,87,117
113,56,71,101
114,43,69,93
115,56,60,92
116,50,66,89
117,58,66,91
118,53,57,76
119,42,58,95
120,62,66,95
121,57,57,93
122,58,60,89
123,55,56,83
124,43,52,101
125,57,57,98
126,55,53,80
127,69,69,98
128,54,67,107
129,44,48,106
130,67,61,92
131,72,70,110
132,60,74,113
133,63,58,121
134,76,75,114
135,64,72,122
136,74,88,159
137,76,95,144
138,85,91,135
139,88,95,153
140,74,77,144
141,105,113,175
142,96,97,154
143,90,117,175
144,104,136,160
145,101,108,201
146,109,118,210
147,107,131,217
148,99,146,238
149,104,141,237
150,120,118,258
151,104,143,275
152,109,173,304
153,100,191,309
154,129,159,291
155,126,177,344
156,130,183,360
157,139,206,413
158,140,224,524
159,122,204,538
160,134,235,629
161,137,254,629
162,140,251,632
163,133,248,700
164,160,258,738
165,159,268,804
166,177,264,931
167,164,273,929
168,191,287,823
169,176,287,798
170,204,291,769
171,172,295,762
172,214,337,565
173,209,425,539
174,199,431,526
175,219,542,533
176,227,565,471
177,232,632,450
178,223,654,360
179,284,639,318
180,280,661,269
181,306,690,236
182,375,670,214
183,384,700,210
184,489,704,195
185,563,698,152
186,631,630,125
187,582,578,130
188,645,548,121
189,599,530,105
190,639,505,87
191,653,474,89
192,653,428,80
193,630,524,65
194,544,568,56
195,621,515,56
196,512,411,45
197,502,369,49
198,565,291,56
199,545,210,42
200,512,209,48
201,452,152,32
202,379,118,37
203,336,80,31
204,336,57,29
205,322,64,17
206,310,54,18
207,305,57,12
208,319,42,26
209,387,40,18
210,457,34,13
211,431,34,15
212,334,41,21
213,246,35,11
214,141,27,11
215,89,13,16
216,61,22,18
217,46,20,16
218,45,16,14
219,41,17,9
220,37,20,11
221,41,19,13
222,27,10,15
223,19,16,9
224,17,15,16
225,19,20,11
226,16,11,14
227,21,13,13
228,17,14,7
229,18,16,8
230,10,15,8
231,13,12,5
232,11,10,7
233,9,11,12
234,7,9,6
235,14,9,2
236,8,7,6
237,3,8,3
238,6,4,7
239,8,5,4
240,7,5,4
241,4,4,4
242,4,3,4
243,1,6,1
244,1,3,2
245,3,1,1
246,2,3,3
247,1,3,2
248,0,3,1
249,2,1,1
250,2,1,1
251,0,1,1
252,2,1,2
253,0,2,0
254,2,1,1
255,0,0,1
