bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,1,1,1
26,6,7,4
27,3,1,0
28,2,5,6
29,4,2,4
30,6,10,6
31,8,9,7
32,12,11,5
33,6,14,10
34,11,12,10
35,17,20,7
36,15,7,12
37,6,7,14
38,7,9,11
39,12,4,9
40,7,3,9
41,5,5,5
42,8,7,6
43,4,2,2
44,6,2,2
45,4,9,4
46,8,6,3
47,5,4,6
48,7,11,5
49,9,6,7
50,8,14,13
51,14,9,5
52,13,9,22
53,20,13,10
54,20,14,15
55,33,18,17
56,23,23,24
57,37,34,30
58,36,43,30
59,46,71,32
60,41,57,41
61,59,58,43
62,61,69,58
63,49,55,67
64,42,62,63
65,41,58,92
66,44,55,69
67,42,54,58
68,57,42,56
69,47,50,42
70,60,45,58
71,34,38,55
72,45,43,35
73,39,29,51
74,38,50,37
75,46,34,51
76,27,40,42
77,34,35,37
78,25,43,43
79,46,37,35
80,39,38,37
81,24,38,40
82,36,33,43
83,34,37,35
84,29,30,32
85,36,31,28
86,46,36,37
87,41,37,25
88,40,43,32
89,23,33,44
90,26,27,38
91,25,27,35
92,35,26,38
93,33,28,26
94,22,26,32
95,16,17,24
96,16,17,35
97,9,16,28
98,15,20,25
99,10,15,25
100,10,16,23
101,11,14,16
102,10,15,20
103,10,10,19
104,8,12,26
105,8,11,26
106,10,17,29
107,13,16,33
108,10,9,20
109,8,17,19
110,13,8,36
111,9,15,24
112,14,20,31
113,8,19,22
114,13,14,29
115,18,16,31
116,13,21,22
117,10,29,28
118,9,28,22
119,5,27,19
120,11,23,28
121,11,26,29
122,11,31,29
123,13,28,25
124,10,31,26
125,9,24,39
126,20,37,30
127,30,27,26
128,27,27,25
129,24,26,22
130,22,26,32
131,23,35,37
132,35,37,38
133,39,35,24
134,34,33,36
135,40,22,33
136,35,27,40
137,21,29,55
138,23,35,43
139,26,41,47
140,30,27,53
141,37,36,53
142,35,47,65
143,36,55,53
144,38,36,64
145,35,58,60
146,42,46,70
147,38,75,83
148,39,52,76
149,36,76,88
150,46,58,108
151,37,74,105
152,46,88,101
153,38,86,99
154,46,90,101
155,54,100,101
156,57,84,115
157,83,108,117
158,72,111,108
159,91,119,96
160,89,107,107
161,92,94,113
162,110,123,98
163,110,106,98
164,109,109,101
165,116,111,119
166,103,120,121
167,134,98,97
168,111,105,117
169,120,128,101
170,145,127,103
171,155,115,114
172,163,137,105
173,157,137,124
174,149,148,105
175,142,140,118
176,169,154,113
177,150,129,100
178,170,136,118
179,148,134,102
180,130,134,84
181,109,126,96
182,148,106,86
183,172,105,71
184,148,91,90
185,140,86,67
186,139,76,66
187,147,94,84
188,139,86,86
189,119,111,74
190,117,83,71
191,110,86,82
192,127,72,91
193,133,91,79
194,135,86,66
195,110,73,60
196,118,77,46
197,111,87,61
198,108,99,45
199,106,67,43
200,96,74,51
201,79,70,47
202,76,61,51
203,64,57,46
204,65,53,41
205,48,59,46
206,40,50,44
207,45,54,48
208,40,51,58
209,41,49,54
210,28,44,61
211,45,45,50
212,35,42,53
213,33,31,52
214,28,40,49
215,40,34,43
216,29,39,52
217,32,40,45
218,29,34,42
219,27,23,31
220,25,28,38
221,25,29,22
222,16,27,22
223,12,18,27
224,10,15,30
225,12,21,29
226,5,9,15
227,6,9,15
228,2,4,4
229,5,3,6
230,1,2,1
231,0,0,4
232,0,0,0
233,0,0,1
234,2,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
