bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,1,0,0
55,0,0,0
56,2,2,0
57,0,0,1
58,2,2,1
59,2,1,2
60,0,3,2
61,2,2,3
62,1,1,1
63,2,3,1
64,4,3,4
65,4,3,1
66,4,3,4
67,6,3,4
68,6,5,2
69,8,5,7
70,4,10,4
71,11,5,3
72,9,9,7
73,11,11,6
74,11,15,14
75,13,14,9
76,16,17,13
77,28,12,15
78,28,28,22
79,39,33,16
80,38,22,30
81,53,38,21
82,49,37,34
83,56,45,27
84,78,48,27
85,75,56,49
86,77,49,43
87,104,67,55
88,94,62,41
89,90,63,57
90,90,68,68
91,93,97,67
92,86,78,59
93,93,80,64
94,70,93,100
95,77,75,84
96,65,96,95
97,69,83,88
98,61,77,62
99,51,80,74
100,50,71,85
101,39,74,82
102,37,78,82
103,32,74,103
104,38,77,97
105,32,60,72
106,32,73,90
107,33,47,98
108,28,48,83
109,33,54,104
110,45,56,83
111,32,38,88
112,43,31,64
113,32,46,60
114,31,51,54
115,21,41,70
116,25,37,54
117,29,34,53
118,32,41,40
119,33,41,41
120,27,27,42
121,31,36,37
122,26,38,29
123,34,25,42
124,34,30,39
125,27,27,31
126,33,39,40
127,35,31,43
128,25,30,35
129,28,37,50
130,27,23,38
131,33,26,51
132,28,27,32
133,24,36,34
134,20,39,43
135,21,28,31
136,19,34,36
137,23,37,47
138,29,35,53
139,29,35,48
140,27,43,46
141,31,40,61
142,38,33,63
143,38,45,84
144,41,46,81
145,41,52,72
146,31,42,89
147,34,46,103
148,40,53,117
149,40,54,124
150,45,64,110
151,37,72,119
152,36,88,144
153,44,82,144
154,61,110,164
155,56,77,178
156,64,96,165
157,66,105,190
158,64,93,198
159,72,111,182
160,88,97,146
161,89,92,190
162,85,99,217
163,91,102,200
164,111,116,234
165,105,121,238
166,106,110,225
167,98,126,224
168,94,126,187
169,92,138,231
170,92,127,233
171,108,135,237
172,99,142,220
173,86,147,260
174,90,164,257
175,97,169,295
176,95,171,301
177,80,215,321
178,87,219,325
179,97,246,294
180,94,222,322
181,134,230,265
182,159,265,250
183,184,249,239
184,174,261,225
185,220,271,172
186,233,327,195
187,221,333,144
188,250,332,127
189,238,332,139
190,294,276,116
191,269,270,104
192,258,281,92
193,294,319,74
194,279,311,51
195,281,292,56
196,311,279,34
197,322,238,22
198,340,200,28
199,348,204,27
200,316,133,13
201,299,131,9
202,273,87,7
203,274,83,1
204,288,61,0
205,280,53,0
206,261,28,0
207,189,34,0
208,159,27,0
209,126,3,0
210,114,3,0
211,91,3,0
212,88,2,0
213,67,2,0
214,44,0,0
215,32,0,0
216,20,0,0
217,10,0,0
218,6,0,0
219,9,0,0
220,5,0,0
221,2,0,0
222,1,0,0
223,4,0,0
224,1,0,0
225,0,0,0
226,1,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
