bin,red,green,blue
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,1
48,0,0,0
49,0,1,1
50,1,0,0
51,1,1,3
52,0,0,4
53,2,3,2
54,2,2,4
55,3,3,4
56,5,5,3
57,3,2,6
58,5,4,2
59,1,4,1
60,3,5,7
61,2,0,6
62,4,3,4
63,5,8,7
64,7,4,1
65,4,6,1
66,3,1,5
67,4,3,6
68,4,3,4
69,4,5,3
70,5,7,7
71,3,1,5
72,5,10,5
73,8,6,8
74,5,6,7
75,4,5,4
76,4,4,4
77,1,2,6
78,4,7,12
79,6,11,3
80,10,7,11
81,7,13,16
82,11,11,19
83,15,24,27
84,17,30,40
85,31,43,36
86,39,62,54
87,60,81,74
88,72,88,94
89,101,126,113
90,132,160,135
91,165,183,181
92,195,207,224
93,231,258,197
94,225,237,228
95,214,250,272
96,226,264,287
97,201,246,287
98,228,269,259
99,239,239,240
100,231,235,253
101,246,249,243
102,244,234,249
103,238,225,276
104,263,255,269
105,237,232,276
106,260,269,290
107,246,231,256
108,210,205,273
109,206,191,233
110,220,206,244
111,228,216,263
112,223,191,226
113,218,195,248
114,179,206,243
115,213,217,259
116,183,186,284
117,171,180,276
118,155,199,263
119,146,161,292
120,141,160,290
121,125,152,269
122,121,150,278
123,119,162,241
124,105,128,248
125,120,141,234
126,105,119,275
127,122,118,237
128,109,112,266
129,95,121,264
130,113,130,255
131,97,121,258
132,101,166,282
133,84,131,274
134,95,160,285
135,94,149,289
136,96,164,317
137,125,167,299
138,98,185,341
139,74,191,311
140,101,175,334
141,107,225,293
142,122,185,322
143,120,220,340
144,97,214,372
145,109,231,349
146,121,261,370
147,100,255,350
148,157,250,374
149,155,287,334
150,147,256,358
151,139,280,396
152,161,281,350
153,155,283,351
154,177,311,373
155,172,298,392
156,171,298,347
157,181,292,392
158,183,317,399
159,192,290,354
160,185,303,362
161,206,265,367
162,240,284,388
163,229,309,368
164,234,277,339
165,229,277,369
166,252,286,390
167,223,272,402
168,236,295,389
169,227,287,397
170,217,275,401
171,195,275,436
172,208,292,449
173,218,264,470
174,213,272,502
175,208,297,523
176,185,271,543
177,184,283,530
178,186,235,572
179,180,268,559
180,190,251,562
181,204,269,574
182,191,270,579
183,206,257,520
184,218,257,454
185,207,238,399
186,199,280,343
187,204,249,338
188,231,231,325
189,230,224,291
190,186,239,247
191,236,241,184
192,231,233,113
193,228,229,86
194,217,224,75
195,234,227,74
196,262,223,50
197,257,200,47
198,246,216,32
199,279,210,40
200,268,253,32
201,282,241,31
202,294,226,30
203,267,242,27
204,272,243,24
205,288,318,23
206,291,272,28
207,299,300,29
208,263,305,24
209,278,285,17
210,274,294,18
211,295,368,22
212,242,420,34
213,260,406,26
214,278,469,32
215,319,515,29
216,301,531,41
217,287,532,30
218,283,487,35
219,290,473,49
220,270,489,21
221,267,551,18
222,274,433,11
223,312,331,7
224,256,237,5
225,296,128,2
226,302,54,4
227,356,22,2
228,296,27,6
229,337,31,0
230,357,37,3
231,365,44,4
232,353,61,0
233,384,66,4
234,389,58,1
235,457,54,1
236,507,29,0
237,476,14,0
238,571,7,0
239,608,5,0
240,690,7,0
241,535,3,0
242,371,3,0
243,223,2,0
244,95,1,0
245,25,0,0
246,3,0,0
247,1,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
