"","population","individual","sex","species","sequenced.","photo.id","std.length.raw","depth.spine.1","depth.spine.2","spine.length.1","spine.length.2","spine.length.3","spine.length.ventral","correction","std.length","depth.1","depth.2","spine.1","spine.2","spine.3","spine.ventral","lndmrk.x1","lndmrk.x2","lndmrk.x3","lndmrk.x4","lndmrk.x5","lndmrk.x6","lndmrk.x7","lndmrk.x8","lndmrk.x9","lndmrk.x10","lndmrk.x11","lndmrk.x12","lndmrk.x13","lndmrk.x14","lndmrk.x15","lndmrk.x16","lndmrk.x17","lndmrk.x18","lndmrk.x19","lndmrk.y1","lndmrk.y2","lndmrk.y3","lndmrk.y4","lndmrk.y5","lndmrk.y6","lndmrk.y7","lndmrk.y8","lndmrk.y9","lndmrk.y10","lndmrk.y11","lndmrk.y12","lndmrk.y13","lndmrk.y14","lndmrk.y15","lndmrk.y16","lndmrk.y17","lndmrk.y18","lndmrk.y19","notes"
"1","AL-S-2014","1",NA,"C",NA,"0010",1980.184,474.009,465.01,184.835,224.179,NA,312.519,387.105,5.12,1.22,1.2,"0.4774802702","0.579","#VALUE!","0.8073235944","918","1028",1096,1182,1172,1110,942,903,874,812,802,735,721,730,759,783,971,1019,1004,548,701,855,1288,1533,1884,2288,2427,2509,2442,2355,1956,1456,1278,966,668,721,879,1264,"e.g. no head, very bent, not a threespine, etc."
"2","AL-S-2014","2",NA,"C",NA,"0011",1827.121,468.087,453.486,199.449,230.825,56.604,306.94,390.104,4.68,1.2,1.16,"0.5112713533","0.592","0.1450997683","0.7868158235","920","1036",1116,1256,1244,1228,1024,948,876,880,888,864,800,788,792,812,984,996,1024,522,674,834,1210,1410,1722,2178,2302,2346,2250,2138,1810,1394,1234,986,666,698,874,1238,NA
"3","AL-S-2014","3",NA,"C",NA,"0012",2020.874,483.335,471.239,193.215,214.663,76.837,252.642,390.012,5.18,1.24,1.21,"0.4954078336","0.550","0.1970118868","0.6477800683","952","1076",1156,1284,1304,1296,1132,1084,1024,996,1004,908,848,832,828,836,1024,1032,1052,542,698,830,1258,1482,1786,2342,2474,2550,2462,2326,1962,1470,1286,1082,690,706,894,1262,NA
"4","AL-S-2014","4",NA,"C",NA,"0002",1661.28,312.231,324.014,218.156,230.825,84.853,300.54,393.011,4.23,0.79,0.82,"0.5550887889","0.587","0.2159048983","0.7647114203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AL-S-2014","5",NA,"C",NA,"0013",1925.703,471.086,471.153,NA,NA,NA,NA,387.012,4.98,1.22,1.22,"#VALUE!","#VALUE!","#VALUE!","#VALUE!","1004","1080",1136,1260,1256,1248,1140,1120,1092,1040,1000,876,800,800,832,880,1016,1016,1036,570,686,818,1198,1426,1778,2234,2390,2474,2398,2238,1950,1410,1222,974,674,710,862,1238,NA
"6","AL-S-2014","6",NA,"C",NA,"0014",1872.695,450,444.041,218.403,263.454,85.276,342.473,390.012,4.8,1.15,1.14,"0.5599904618","0.676","0.2186496826","0.8781088787","892","996",1056,1172,1160,1132,996,964,932,892,868,760,724,740,760,760,924,944,936,594,734,862,1290,1502,1842,2286,2406,2482,2426,2262,1950,1458,1278,1054,734,774,922,1274,NA
"7","AL-S-2014","7",NA,"C",NA,"0015",1830.157,459.01,462,231.836,220.617,86.533,300.24,393.046,4.66,1.17,1.18,"0.5898444457","0.561","0.2201599813","0.7638800548","960","1032",1096,1188,1196,1184,1020,1004,968,916,904,800,748,752,780,840,984,980,984,490,626,762,1138,1358,1686,2102,2226,2314,2246,2130,1822,1306,1142,946,610,650,806,1150,NA
"8","AL-S-2014","8",NA,"C",NA,"0016",1943.523,462.01,447.01,230.825,247.095,75.18,330.872,390.046,4.98,1.18,1.15,"0.5917891736","0.634","0.1927464966","0.8482896889","1064","1164",1220,1284,1272,1248,1164,1180,1148,1104,1044,880,840,840,872,920,1104,1104,1076,490,674,822,1230,1446,1726,2226,2358,2430,2370,2238,1870,1406,1242,918,634,682,870,1254,NA
"9","AL-S-2014","9",NA,"C",NA,"0017",1927.336,441.01,426.011,220.78,246.658,60,300.24,387.047,4.98,1.14,1.1,"0.5704216801","0.637","0.155019933","0.7757197446","1056","1136",1180,1260,1236,1208,1176,1212,1220,1132,1028,852,824,824,868,920,1080,1084,1068,682,854,1010,1394,1618,1930,2350,2498,2586,2550,2374,2038,1550,1394,1090,814,866,1034,1398,NA
"10","AL-S-2014","10",NA,"C",NA,"0018",1975.103,462.088,456.039,228.473,233.384,80.722,342.053,390.046,5.06,1.18,1.17,"0.5857591156","0.598","0.2069550771","0.8769555386","888","972",1044,1144,1136,1132,1008,976,948,896,888,784,696,696,712,764,936,928,936,306,454,602,1006,1222,1534,2054,2206,2274,2202,2030,1710,1198,1022,734,422,466,622,1022,NA
"11","AL-S-2014","11",NA,"C",NA,"0019",1920.021,459,441.041,201.604,209.313,60,264.068,390.046,4.92,1.18,1.13,"0.5168723689","0.537","0.15382801","0.6770175825","1036","1100",1172,1248,1240,1208,1064,1056,1008,972,948,832,800,804,832,884,1056,1056,1040,626,806,946,1374,1574,1922,2358,2466,2546,2478,2362,2010,1518,1374,1074,770,814,982,1354,NA
"12","AL-S-2014","12",NA,"C",NA,"0020",2038.857,465.155,477.038,237.739,241.868,88.589,312.231,390.046,5.23,1.19,1.22,"0.6095152879","0.620","0.227124493","0.80049789","980","1096",1168,1276,1304,1268,1032,948,864,868,900,868,836,824,836,856,1048,1068,1076,558,726,890,1298,1570,1898,2374,2522,2582,2474,2362,1974,1498,1326,1046,726,746,926,1338,NA
"13","AL-S-2014","13",NA,"C",NA,"0021",1885.492,426,417,235.228,240,102.528,318.226,390.046,4.83,1.09,1.07,"0.6030775857","0.615","0.2628613035","0.815867872","920","1024",1084,1176,1160,1148,1052,1012,964,912,940,808,760,760,776,808,964,968,968,534,686,822,1218,1442,1790,2210,2354,2422,2370,2238,1878,1410,1230,974,670,706,862,1226,NA
"14","AL-S-2014","14",NA,"C",NA,"0022",1890.467,456.01,444,224.66,231.758,64.9,300,387.186,4.88,1.18,1.15,"0.5802379218","0.599","0.167619697","0.7748214037","1080","1176",1224,1324,1324,1280,1116,1076,992,992,992,900,884,876,900,956,1108,1112,1100,614,790,942,1338,1566,1886,2322,2422,2498,2402,2302,1946,1486,1346,1022,738,806,970,1334,NA
"15","AL-S-2014","15",NA,"C",NA,"0023",2039.79,495.327,495.445,236.677,261.947,99.86,321.602,390.012,5.23,1.27,1.27,"0.6068454304","0.672","0.2560434038","0.8245951407","952","1052",1128,1268,1276,1272,1148,1152,1148,1056,1008,852,776,772,788,816,996,1008,1028,502,674,822,1226,1458,1798,2258,2410,2522,2438,2290,1938,1450,1258,966,662,694,858,1242,NA
"16","AL-S-2014","16",NA,"C",NA,"0024",1869.299,462.243,459.245,212.132,206.63,56.604,306.529,387.012,4.83,1.19,1.19,"0.5481277066","0.534","0.1462590307","0.7920400401","984","1092",1144,1252,1244,1248,1140,1132,1084,1036,1036,896,808,804,836,864,1032,1040,1028,658,818,958,1358,1566,1858,2298,2438,2522,2430,2314,1982,1526,1386,1106,794,830,998,1342,NA
"17","AL-S-2014","18",NA,"C",NA,"0017",1305.055,306.132,318.509,113.842,94.868,48.374,216.749,390.012,3.35,0.78,0.82,"0.2918935828","0.243","0.1240320811","0.5557495667","1228","1172",1128,1068,1068,1088,1200,1216,1252,1284,1288,1356,1380,1364,1336,1316,1208,1200,1216,2592,2464,2396,2096,1924,1736,1428,1340,1292,1348,1448,1656,1992,2096,2240,2516,2484,2364,2120,NA
"18","AL-S-2014","19",NA,"C",NA,"0018",1306.823,294.138,294.138,148.189,139.169,56.604,241.197,396.011,3.3,0.74,0.74,"0.3742042519","0.351","0.1429354235","0.6090664148","992","928",884,832,844,844,896,888,916,968,996,1092,1136,1120,1112,1084,980,976,980,2748,2636,2540,2260,2096,1872,1580,1512,1468,1500,1588,1804,2136,2260,2432,2668,2644,2512,2276,NA
"19","AL2014","1","F","B",1,"5362",2541.126,606.007,600.067,296.378,299.58,85.907,390,423,6.01,1.43,1.42,"0.7006572104","0.708","0.2030898345","0.9219858156","816","1032",1248,1680,1968,2454,3072,3228,3330,3264,3078,2712,1896,1632,1296,930,1038,1242,1698,1392,1278,1200,1104,1086,1128,1230,1230,1284,1332,1392,1584,1710,1704,1632,1560,1350,1332,1386,NA
"20","AL2014","2","F","B",1,"5363",2450.758,585.492,615.468,255.265,275.804,83.355,397.135,423.011,5.79,1.38,1.45,"0.6034476645","0.652","0.1970516133","0.9388290139","988","1164",1352,1812,2136,2600,3188,3352,3420,3380,3224,2856,2116,1820,1432,1124,1172,1356,1828,1368,1260,1188,1072,1036,1036,1140,1128,1172,1244,1288,1484,1656,1644,1568,1516,1336,1332,1364,NA
"21","AL2014","3","F","B",1,"5364",2055.219,504.036,537,267.32,259.6,96.747,390.185,420,4.89,1.2,1.28,"0.6364761905","0.618","0.23035","0.9290119048","1087","1232",1421,1791,2033,2434,2905,3050,3129,3050,2927,2636,1976,1769,1457,1188,1232,1412,1782,1329,1263,1214,1140,1118,1157,1302,1333,1368,1417,1439,1575,1659,1637,1562,1492,1333,1329,1360,NA
