population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
AL-S-2014,1,,C,,,,,,,,,,,,,,,,,,5.1153666318,1.2244972294,
AL-S-2014,2,,C,,,,,,,,,,,,,,,,,,4.6836766606,1.1999031028,
AL-S-2014,3,,C,,,,,,,,,,,,,,,,,,5.1815687722,1.2392823811,
AL-S-2014,4,,C,,,,,,,,,,,,,,,,,,4.2270572579,0.7944586793,
AL-S-2014,5,,C,,,,,,,,,,,,,,,,,,4.9758224551,1.217238742,
AL-S-2014,6,,C,,,,,,,,,,,,,,,,,,4.8016343087,1.153810652,
AL-S-2014,7,,C,,,,,,,,,,,,,,,,,,4.6563430235,1.1678276843,
AL-S-2014,8,,C,,,,,,,,,,,,,,,,,,4.9828045923,1.1845013152,
AL-S-2014,9,,C,,,,,,,,,,,,,,,,,,4.9795916258,1.1394223441,
AL-S-2014,10,,C,,,,,,,,,,,,,,,,,,5.0637694016,1.1847012916,
AL-S-2014,11,,C,,,,,,,,,,,,,,,,,,4.9225501608,1.1767842767,
AL-S-2014,12,,C,,,,,,,,,,,,,,,,,,5.2272219174,1.1925644668,
AL-S-2014,13,,C,,,,,,,,,,,,,,,,,,4.8340247048,1.0921788712,
AL-S-2014,14,,C,,,,,,,,,,,,,,,,,,4.8825809818,1.177754361,
AL-S-2014,15,,C,,,,,,,,,,,,,,,,,,5.230069844,1.2700301529,
AL-S-2014,16,,C,,,,,,,,,,,,,,,,,,4.8300802042,1.1943893213,
AL-S-2014,18,,C,,,,,,,,,,,,,,,,,,3.346191912,0.7849296945,
AL-S-2014,19,,C,,,,,,,,,,,,,,,,,,3.2999664151,0.7427520953,
AL2014,1,F,B,1,1.3,1.2,1.2,1.5,1.7,1.5,1.2,1.2,1.4,1.4,,,,,3.093,,6.0073900709,1.4326406619,1
AL2014,2,F,B,1,1.7,1.5,1.7,1.6,1.7,1.7,1.6,1.5,1.6,1.6,,,,,3.995,,5.793603476,1.3841058507,1
AL2014,3,F,B,1,1.2,1.4,1.3,1.4,1.4,1.1,1.3,1.3,1.2,1.5,,,,,3.543,,4.8933785714,1.2000857143,1
AL2014,4,,B,,,,,,,,,,,,,,,,,,4.8961040189,1.163465721,
AL2014,5,F,B,1,1.8,1.6,1.6,1.6,1.5,1.6,1.6,1.55,1.6,1.5,,,,,4.376,,5.5177352246,1.4327825059,1
AL2014,6,M,B,1,,,,,,,,,,,5,NA,1.1,1,0.613,,5.4200407971,1.3170364146,1
AL2014,7,F,B,1,1.9,1.6,1.5,1.5,1.4,1.15,1.4,1.5,1.2,1.5,,,,,3.703,,5.4529456265,1.2773049645,1
AL2014,8,,B,,,,,,,,,,,,,,,,,,5.0129761908,1.1482027459,
AL2014,9,,B,,,,,,,,,,,,,,,,,,4.9394838432,1.172328852,
AL2014,10,,B,,,,,,,,,,,,,,,,,,5.6237616507,1.3124032309,
AL2014,11,F,B,1,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.45,1.4,,,,,3.45,x9,5.9117375198,1.3120982669,1
AL2014,12,M,B,1,,,,,,,,,,,5.7,4.5,1.2,1.3,0.684,,4.9671043924,1.1344942992,1
AL2014,13,F,B,1,1.3,1.3,1.4,1.1,1.3,1.5,1.3,1.3,1.1,1.3,,,,,3.724,,5.7504874872,1.3220891834,1
AL2014,14,F,B,1,1.5,1.2,1.2,1.2,1.4,1.5,1.4,0.9,1.6,1.6,,,,,2.479,,5.5757840813,1.3901080587,1
AL2014,15,,B,,,,,,,,,,,,,,,,,,5.0722227082,1.2056636825,
AL2014,16,,B,,,,,,,,,,,,,,,,,,5.0560969267,1.1632080378,
AL2014,17,,B,,,,,,,,,,,,,,,,,,5.9526348015,1.4396954216,
AL2014,18,,B,,,,,,,,,,,,,,,,,,5.2326501089,1.3199485631,
